compound,smiles
1003-09-4,C1=CC=C(Br)S1
10057-27-9,FC(F)(F)C(=O)C(F)(F)F
10061-01-5,ClC=CCCl
10061-02-6,ClC=CCCl
1007-28-9,n1c(N)nc(Cl)nc1NCC
102-71-6,OCCN(CCO)CCO
10498-35-8,C1C(Cl)C(Cl)CCC1
105-46-4,CC(=O)OC(C)CC
105-54-4,CCCC(=O)OCC
105-58-8,CCOC(=O)OCC
106-36-5,CCC(=O)OCCC
106-37-6,c1c(Br)ccc(Br)c1
106-46-7,c1c(Cl)ccc(Cl)c1
106-47-8,c1c(Cl)ccc(N)c1
106-48-9,c1c(Cl)ccc(O)c1
106-93-4,BrCCBr
106-94-5,CCCBr
106-95-6,BrCC=C
106-97-8,CCCC
106-98-9,C=CCC
106-99-0,C=CC=C
107-03-9,CCCS
107-06-2,ClCCCl
107-08-4,CCCI
107-15-3,NCCN
107-21-1,OCCO
107-97-1,CNCC(=O)O
107103-96-8,FC(F)(F)CCC(O)CC
107103-97-9,FC(F)(F)CC(C)CCO
108-10-1,CC(=O)CC(C)C
108-11-2,CC(C)CC(O)C
108-20-3,CC(C)OC(C)C
108-21-4,CC(=O)OC(C)C
108-36-1,c1c(Br)cc(Br)cc1
108-42-9,c1c(Cl)cc(N)cc1
108-43-0,c1c(Cl)cc(O)cc1
108-70-3,c1(Cl)cc(Cl)cc(Cl)c1
108-78-1,Nc1nc(N)nc(N)n1
108-85-0,BrC1CCCCC1
108-86-1,c1ccccc1Br
108-89-4,c1c(C)ccnc1
108-90-7,c1ccccc1Cl
108-91-8,C1CCCCC1N
108-93-0,C1CCC(O)CC1
108-95-2,c1ccccc1O
108-98-5,c1cc(S)ccc1
108-99-6,c1c(C)cncc1
109-04-6,c1ccc(Br)nc1
109-06-8,c1c(C)nccc1
109-09-1,c1ccc(Cl)nc1
109-49-9,CC(=O)CCC=C
109-52-4,CCCCC(=O)O
109-64-8,BrCCCBr
109-65-9,CCCCBr
109-66-0,CCCCC
109-67-1,C=CCCC
109-69-3,CCCCCl
109-70-6,BrCCCCl
109-76-2,NCCCN
109-79-5,CCCCS
109-92-2,CCOC=C
109803-52-3,c1c(Br)c(Cl)c(Cl)c(OC)c1
110-00-9,O1C=CC=C1
110-02-1,S1C=CC=C1
110-19-0,CC(=O)OCC(C)C
110-44-1,CC=CC=CC(=O)O
110-53-2,CCCCCBr
110-54-3,CCCCCC
110-56-5,ClCCCCCl
110-58-7,CCCCCN
110-68-9,CNCCCC
110-82-7,C1CCCCC1
110-83-8,C1CCC=CC1
110-85-0,C1NCCNC1
111-25-1,CCCCCCBr
111-26-2,CCCCCCN
111-27-3,CCCCCCO
111-42-2,OCCNCCO
111-43-3,CCCOCCC
111-44-4,ClCCOCCCl
111-47-7,CCCSCCC
1118-68-9,CN(C)CC(=O)O
1120-87-2,c1c(Br)ccnc1
1120-90-7,c1cc(I)cnc1
112704-79-7,OC(=O)c1ccc(Br)cc1F
114525-06-3,FC(F)(F)CC(C)CO
115-07-1,CC=C
115-11-7,C=C(C)C
115571-04-5,ClC(Cl)(Cl)c1nc(N)nc(OC)n1
116-53-0,CCC(C)C(=O)O
117856-61-8,c1c(OC)ncc(OC)n1
118-79-6,c1(Br)c(O)c(Br)cc(Br)c1
118-91-2,c1c(Cl)c(C(=O)O)ccc1
1193-02-8,Nc1ccc(S)cc1
1193-62-0,C1=CNC(C(=O)OC)=C1
1195-08-0,N1C(=O)NC(=O)C(C=O)=C1
120-83-2,c1c(O)c(Cl)cc(Cl)c1
121-44-8,CCN(CC)CC
121-50-6,FC(F)(F)c1cc(N)c(Cl)cc1
122970-63-2,CC1NCC=C1
123-51-3,CC(C)CCO
123-86-4,CC(=O)OCCCC
124-02-7,C=CCNCC=C
127-18-4,ClC(Cl)=C(Cl)Cl
13053-81-1,C1=CSC(NC(=O)C)=C1
13129-23-2,O1C=CC(C(=O)OC)=C1
13577-71-4,C1(C(F)(F)F)=Nc2ncc(Cl)cc2N1
137-07-5,c1c(N)c(S)ccc1
13797-63-2,C1(C(F)(F)F)=Nc2ncccc2N1
140-88-5,C=CC(=O)OCC
14085-33-7,S1SC=2CCCC2C1=S
141-43-5,NCCO
142-28-9,ClCCCCl
142-62-1,CCCCCC(=O)O
142-84-7,CCCNCCC
1435-48-9,Clc1cc(Cl)ccc1F
1436-34-6,CCCCC1OC1
146252-77-9,CCCC1=CC(=S)SS1
1468-83-3,C1=CSC=C1C(=O)C
147-81-9,C1C(O)C(O)C(O)C(O)O1
14884-03-8,N1N=CC(OC(C)C)=C1
14946-02-2,ClC(Cl)(Cl)c1nc(N)nc(SC)n1
151-67-7,FC(F)(F)C(Cl)Br
1513-65-1,n1c(F)cccc1F
15231-48-8,O=C1NC(C)=CC=N1
1529-68-6,BrCC(Br)C(Br)CBr
1551-06-0,CCC1=CC=CN1
156-59-2,ClC=CCl
156-60-5,ClC=CCl
156-87-6,NCCCO
1574-41-0,CC=CC=C
15950-66-0,c1c(O)c(Cl)c(Cl)c(Cl)c1
15962-47-7,NC(=O)C(C)NC(=O)C
1603-41-4,c1c(N)ncc(C)c1
16063-69-7,c1(Cl)cc(Cl)cc(Cl)n1
16063-70-0,c1c(Cl)cc(Cl)c(Cl)n1
16088-73-6,ClC(Cl)(Cl)c1nc(N)nc(N)n1
16110-09-1,c1c(Cl)ccc(Cl)n1
16269-66-2,C1=Cc2ncnc(Cl)c2S1
1628-89-3,c1c(OC)nccc1
164584-60-5,CCCC1=CSSC1=O
164584-61-6,CCC1=CC(=O)SS1
164584-62-7,CCCC1=CC(=O)SS1
16839-97-7,COC1=CC=CS1
1717-00-6,CC(F)(Cl)Cl
17249-80-8,ClC1=CSC=C1
1746-25-4,N1CC(I)=NC(I)=C1I
174913-20-3,Clc1cc(OC)cc(Cl)c1Br
174913-24-7,Brc1c(Cl)c(Cl)c(Cl)cc1OC
174913-31-6,Brc1cc(Cl)c(Cl)c(Cl)c1OC
174913-44-1,Brc1cc(Cl)cc(Br)c1OC
174913-68-9,Brc1c(Cl)c(Cl)c(Cl)c(Br)c1OC
174913-78-1,Brc1cc(Br)c(Cl)c(Br)c1OC
17647-69-7,CC1=NON=C1CC
1782-00-9,C1(Cl)C(Cl)C(Cl)C(Cl)C=C1
1795-01-3,C1=CSC=C1CC
1825-21-4,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
1825-26-9,Brc1c(Br)c(Br)c(Br)c(Br)c1OC
18438-38-5,c1nc(SC)ccc1
19393-92-1,Clc1cccc(Cl)c1Br
199177-26-9,O=Cc1cc(Br)cc(O)c1
2004-70-8,CC=CC=C
2106-02-7,Nc1ccc(F)cc1Cl
21124-40-3,S1C=CC=C1C(N)C(=O)O
21227-47-4,ClC(Cl)(Cl)c1nc(C)nc(N)n1
2144-41-4,C1C(C)OC(C)C1
2176-62-7,n1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
21948-70-9,n1cc(SC)ncc1
22037-28-1,C1=CC(Br)=CO1
2268-05-5,Clc1cccc(Cl)c1F
22715-68-0,CC(=O)NC(C)C(=O)NC
22913-26-4,C1=CSC=C1C(=O)OC
23261-20-3,C1OC1C(O)C(O)C2OC2
23361-38-8,OCC(C(=O)N)NC(=O)C
2366-52-1,CCCCF
2390-94-5,C1C(C)OC(C)C1
2402-78-0,c1cc(Cl)nc(Cl)c1
24108-33-6,c1nc(C)nnc1
2457-47-8,c1c(Cl)cc(Cl)cn1
2527-99-3,COC(=O)C1=CC=C(Br)O1
2539-17-5,c1(O)c(OC)c(Cl)c(Cl)c(Cl)c1Cl
25414-22-6,C1=C(OC)OC=C1
2593-15-9,CCOC1=NC(C(Cl)(Cl)Cl)=NS1
2683-90-1,O=C1C2=C(N=NN2)N=CN1
271-58-9,N1=C2C=CC=CC2=CO1
271-95-4,N1=Cc2ccccc2O1
273-09-6,C1=CC2=NON=C2C=C1
273-13-2,N1=C2C=CC=CC2=NS1
273-53-0,C1=Nc2ccccc2O1
28177-48-2,Fc1cccc(F)c1O
2837-89-0,FC(F)(F)C(Cl)F
28466-26-4,N1C=C(N)C=N1
2847-30-5,c1nc(C)c(OC)nc1
287-92-3,C1CCCC1
28810-38-0,C1(Cl)C(Cl)C(Cl)C(Cl)C=C1
2882-20-4,c1nc(C)c(SC)nc1
2882-21-5,n1cc(C)nc(OC)c1
30031-63-1,CS(=O)(=O)OCC(O)C1CO1
302-72-7,NC(C)C(=O)O
3140-93-0,S1C(Br)=C(Br)C=C1
319-81-3,C1(Cl)C(Cl)C(Cl)C(Cl)C=C1
319-94-8,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)=C1
3208-16-0,C1=COC(CC)=C1
321-14-2,c1c(O)c(C(=O)O)cc(Cl)c1
327-54-8,Fc1cc(F)c(F)cc1F
327-57-1,CCCCC(N)C(=O)O
33332-30-8,n1cc(OC)nc(Cl)c1
33332-31-9,n1c(OC)cnc(Cl)c1
33489-27-9,C1(I)C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
33489-28-0,C1(I)C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
3354-39-0,S=C1SSC(C)=C1C
3354-40-3,S=C1C=C(C)SS1
3354-42-5,S1Sc2ccccc2C1=S
33873-10-8,n1cc(Cl)nc(F)c1
33875-95-5,C1(Cl)C(Cl)C(Cl)C(Cl)C=C1
3400-45-1,OC(=O)C1CCCC1
3469-69-0,N1C=C(I)C=N1
348-54-9,c1c(F)c(N)ccc1
3481-20-7,Nc1c(Cl)c(Cl)cc(Cl)c1Cl
352-61-4,FC(F)(F)CCCCO
352-87-4,C=C(C)C(=O)OCC(F)(F)F
352-93-2,CCSCC
354-33-6,FC(F)(F)C(F)F
35659-69-9-644,CCC1=CSSC1=O
