Compound: TPCN00304
SMILES:   O=CC1(C=COC2OC(CO)C(O)C(O)C2O)CCC(COC(=O)C=Cc3ccc(O)cc3)CC1O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TN4a       0,1                  O,C                  1            36.0     -0.1569  -0.3526  -0.0978 
1        SN6        2,34,35              C,C,O                4            54.0     -0.1262  -0.0684  -0.1907 
2        SP2        3,4,5                C,C,O                2            54.0     -0.2888  -0.1358  0.1023  
3        SN4a       6,7,8                C,O,C                4            54.0     -0.5900  0.0583   0.1931  
4        TP1        9,10                 C,O                  1            36.0     -0.6271  0.2983   0.1762  
5        TN6        11,12                C,O                  2            36.0     -0.8254  0.0916   0.0696  
6        TN6        13,14                C,O                  2            36.0     -0.7201  -0.0322  -0.0974 
7        TN6        15,16                C,O                  2            36.0     -0.5716  -0.1717  -0.0128 
8        TC3        17,18                C,C                  2            36.0     0.0895   -0.1999  0.0401  
9        TC3        19,33                C,C                  3            36.0     0.1116   -0.1528  -0.2466 
10       N4a        20,21,22,23          C,O,C,O              2            72.0     0.2919   0.0730   -0.0790 
11       TC5        24,25                C,C                  2            36.0     0.6090   0.1289   0.0337  
12       TC5        26,27                c,c                  3            36.0     0.8334   0.1099   -0.0121 
13       SN6        28,29,30             c,c,O                2            54.0     1.1280   0.1034   0.0516  
14       TC5        31,32                c,c                  2            36.0     0.9193   0.2270   0.2528  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        8        1.0     
1        9        1.0     
2        3        1.0     
3        4        1.0     
3        5        1.0     
3        7        1.0     
5        6        1.0     
6        7        1.0     
8        9        1.0     
9        10       1.0     
10       11       1.0     
11       12       1.0     
12       13       1.5     
12       14       1.5     
13       14       1.5     
