Compound: TPCN00780
SMILES:   CCC12C=CC(CC(C)=O)N3CCC4(C(=C(C(=O)OC)C1)Nc5ccccc54)C32

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC3        0,1                  C,C                  1            36.0     0.0227   0.1797   -0.2898 
1        TC5        2,28                 C,C                  5            36.0     0.0317   -0.0200  -0.0709 
2        TC5        3,4                  C,C                  2            36.0     0.2799   0.1413   -0.0425 
3        TN6d       5,10                 C,N                  4            36.0     0.2262   -0.1047  -0.0126 
4        SN5a       6,7,8,9              C,C,C,O              1            54.0     0.5289   -0.1249  0.0700  
5        TC3        11,12                C,C                  2            36.0     0.0399   -0.0427  0.2370  
6        TC5        13,14                C,C                  5            36.0     -0.1503  -0.0078  0.0518  
7        TC3        15,20                C,C                  3            36.0     -0.0550  0.2257   0.0160  
8        N4a        16,17,18,19          C,O,O,C              1            72.0     -0.4404  0.3389   -0.0080 
9        TN6d       21                   N                    2            36.0     -0.3749  -0.0004  -0.0044 
10       TC5        22,27                c,c                  4            36.0     -0.2387  -0.1733  0.0372  
11       TC5        23,24                c,c                  2            36.0     -0.4179  -0.3438  -0.0029 
12       TC5        25,26                c,c                  2            36.0     -0.1374  -0.4015  0.0579  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        3        1.0     
1        6        1.0     
1        7        1.0     
2        3        1.0     
3        4        1.0     
3        5        1.0     
5        6        1.0     
6        7        2.0     
6        9        1.0     
6        10       1.0     
7        8        1.0     
9        10       1.0     
10       11       1.5     
10       12       1.5     
11       12       1.5     
