Compound: TPCN00787
SMILES:   C=CC1C(OC2NC=C3C(=O)OCCC3C2C=C)NC=C4C(=O)OCCC41

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC5        0,1                  C,C                  1            36.0     0.3240   -0.2697  -0.0355 
1        SN6        2,3,4                C,C,O                4            54.0     0.1102   -0.0660  0.0111  
2        TC3        5,15                 C,C                  4            36.0     -0.1400  -0.0634  0.0483  
3        TN6d       6,7                  N,C                  2            36.0     -0.1635  0.1750   0.2114  
4        SC5        8,13,14              C,C,C                4            54.0     -0.4003  -0.0913  0.0976  
5        TN6a       9,10                 C,O                  2            36.0     -0.5018  0.1691   0.2538  
6        TN4a       11,12                O,C                  2            36.0     -0.5901  0.0231   0.0158  
7        TC5        16,17                C,C                  1            36.0     -0.2594  0.0461   -0.2010 
8        TN6d       18,19                N,C                  2            36.0     0.1644   -0.0273  -0.2645 
9        SC5        20,25,26             C,C,C                4            54.0     0.3838   0.0421   0.0205  
10       TN6a       21,22                C,O                  2            36.0     0.4653   0.1286   -0.2723 
11       TN4a       23,24                O,C                  2            36.0     0.5538   0.1796   0.0059  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        8        1.0     
1        9        1.0     
2        3        1.0     
2        4        1.0     
2        7        1.0     
3        4        2.0     
4        5        1.0     
4        6        1.0     
5        6        1.0     
8        9        2.0     
9        10       1.0     
9        11       1.0     
10       11       1.0     
