Compound: TPCN00809
SMILES:   C=CC1C[N+]2([O-])CCc3c([nH]c4ccccc34)C2CC1C(CO)C(=O)OC

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC5        0,1                  C,C                  1            36.0     -0.2406  -0.3406  0.0591  
1        TC3        2,3                  C,C                  3            36.0     -0.1170  -0.2158  -0.1567 
2        SN6        4,5,17               N,O,C                4            54.0     0.0644   -0.0911  -0.0547 
3        TC3        6,7                  C,C                  2            36.0     0.2758   -0.2102  -0.1086 
4        TC5        8,9                  c,c                  4            36.0     0.2461   0.0020   0.0120  
5        TN6d       10                   n                    2            36.0     0.1684   0.1955   0.0804  
6        TC5        11,16                c,c                  4            36.0     0.3667   0.1046   0.0893  
7        TC5        12,13                c,c                  2            36.0     0.4704   0.3004   0.2048  
8        TC5        14,15                c,c                  2            36.0     0.6092   0.0543   0.1248  
9        TC3        18,19                C,C                  3            36.0     -0.1163  0.0353   -0.0113 
10       SP1        20,21,22             C,C,O                2            54.0     -0.4408  -0.0174  -0.0619 
11       N4a        23,24,25,26          C,O,O,C              1            72.0     -0.3341  0.3328   0.0999  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        9        1.0     
2        3        1.0     
2        4        1.0     
2        9        1.0     
3        4        1.0     
4        5        1.5     
4        6        1.5     
5        6        1.5     
6        7        1.5     
6        8        1.5     
7        8        1.5     
9        10       1.0     
10       11       1.0     
