Compound: TPCN01831
SMILES:   CC(=O)OCC12C(OC(C)=O)CCC(C)C13OC(C)(C)C(CC2OC(=O)c4ccccc4)C3OC(C)=O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        N4a        0,1,2,3,4            C,C,O,O,C            1            72.0     -0.0823  0.1486   0.3322  
1        TC5        5,15                 C,C                  6            36.0     -0.0993  0.0125   -0.0188 
2        SC3        6,11,12              C,C,C                3            54.0     -0.1765  0.2514   -0.0701 
3        SN4a       7,8,9,10             O,C,C,O              1            54.0     0.2674   0.2876   -0.1562 
4        TC4        13,14                C,C                  2            36.0     -0.3549  0.0458   0.1045  
5        N3r        16,17,18,19          O,C,C,C              2            72.0     -0.1781  -0.1991  -0.2870 
6        TC3        20,32                C,C                  4            36.0     -0.1250  -0.2310  -0.0043 
7        TC3        21,22                C,C                  3            36.0     0.0864   -0.1469  -0.0799 
8        SN4a       23,24,25             O,C,O                2            54.0     0.2933   -0.0554  -0.0924 
9        TC5        26,27                c,c                  3            36.0     0.4277   0.0513   0.0848  
10       TC5        28,29                c,c                  2            36.0     0.6613   0.1171   0.1722  
11       TC5        30,31                c,c                  2            36.0     0.6683   -0.0283  -0.0798 
12       SN4a       33,34,35,36          O,C,C,O              1            54.0     -0.4201  -0.3577  0.0976  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        4        1.0     
1        5        1.0     
1        6        1.0     
1        7        1.0     
2        3        1.0     
2        4        1.0     
5        6        1.0     
6        7        1.0     
6        12       1.0     
7        8        1.0     
8        9        1.0     
9        10       1.5     
9        11       1.5     
10       11       1.5     
