Compound: TPCN02099
SMILES:   C=C1C(=O)OC2C1CCC6CCC3(C(=O)CC4C(=C)CCC5C(=C)C(=O)OC5C43)C7=C6C2C(=C)C7=O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,6                C,C,C                3            54.0     0.6100   0.1352   0.0064  
1        TN6a       2,3                  C,O                  2            36.0     0.4881   0.0731   0.2281  
2        TN4a       4,5                  O,C                  3            36.0     0.4414   -0.1082  0.0404  
3        TC3        7,8                  C,C                  2            36.0     0.3755   0.1769   -0.1480 
4        TC3        9,30                 C,C                  4            36.0     0.1781   0.0508   -0.1413 
5        TC3        10,11                C,C                  2            36.0     0.0159   0.2044   -0.0270 
6        TC5        12,29                C,C                  5            36.0     0.0255   -0.0265  0.0504  
7        TN6a       13,14                C,O                  2            36.0     -0.0349  0.0151   0.2605  
8        SC3        15,16,28             C,C,C                4            54.0     -0.1858  -0.1154  0.1269  
9        C4         17,18,19,20          C,C,C,C              2            72.0     -0.4543  -0.1877  0.0046  
10       SC4        21,22,23             C,C,C                3            54.0     -0.5218  0.1668   -0.1431 
11       TN6a       24,25                C,O                  2            36.0     -0.4693  0.2453   0.1031  
12       TN4a       26,27                O,C                  3            36.0     -0.2733  0.1245   -0.0068 
13       SC4        31,32,33             C,C,C                3            54.0     0.2880   -0.2924  -0.0437 
14       TN6a       34,35                C,O                  2            36.0     0.0903   -0.2380  0.1184  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        2        1.0     
0        3        1.0     
1        2        1.0     
2        13       1.0     
3        4        1.0     
4        5        1.0     
4        6        2.0     
4        13       1.0     
5        6        1.0     
6        7        1.0     
6        8        1.0     
6        14       1.0     
7        8        1.0     
8        9        1.0     
8        12       1.0     
9        10       1.0     
10       11       1.0     
10       12       1.0     
11       12       1.0     
13       14       1.0     
