Compound: TPCN02102
SMILES:   C=C1C(=O)OC2C1CCC6(O)CCC3(C(=O)CC4C(=C)CCC5C(=C)C(=O)OC5C43)C7=C6C2C(CO)C7=O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,6                C,C,C                3            54.0     -0.4347  0.2750   -0.0450 
1        TN6a       2,3                  C,O                  2            36.0     -0.5412  0.1277   -0.2176 
2        TN4a       4,5                  O,C                  3            36.0     -0.2740  0.0594   -0.1944 
3        TC3        7,8                  C,C                  2            36.0     -0.2722  0.1698   0.1475  
4        SN6        9,10,31              C,O,C                4            54.0     -0.2322  -0.1131  0.1772  
5        TC3        11,12                C,C                  2            36.0     -0.0318  -0.0623  0.3074  
6        TC5        13,30                C,C                  5            36.0     0.0048   -0.1420  0.0771  
7        TN6a       14,15                C,O                  2            36.0     0.0985   -0.3330  0.1239  
8        SC3        16,17,29             C,C,C                4            54.0     0.2690   -0.1676  0.1347  
9        C4         18,19,20,21          C,C,C,C              2            72.0     0.4808   0.0254   0.0745  
10       SC4        22,23,24             C,C,C                3            54.0     0.3192   0.2224   -0.1981 
11       TN6a       25,26                C,O                  2            36.0     0.0595   0.2305   -0.1803 
12       TN4a       27,28                O,C                  3            36.0     0.1539   0.0012   -0.0828 
13       TC3        32,33                C,C                  4            36.0     -0.2713  -0.1675  -0.0941 
14       TP1        34,35                C,O                  1            36.0     -0.2011  -0.2107  -0.3624 
15       TN6a       36,37                C,O                  2            36.0     -0.0185  -0.2415  -0.1269 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        2        1.0     
0        3        1.0     
1        2        1.0     
2        13       1.0     
3        4        1.0     
4        5        1.0     
4        6        2.0     
4        13       1.0     
5        6        1.0     
6        7        1.0     
6        8        1.0     
6        15       1.0     
7        8        1.0     
8        9        1.0     
8        12       1.0     
9        10       1.0     
10       11       1.0     
10       12       1.0     
11       12       1.0     
13       14       1.0     
13       15       1.0     
