Compound: TPCN02187
SMILES:   CC1CCC2(C)C(C(=O)O)=CC(OC(=O)c3ccccc3)CC2C1(C)CCc4ccoc4

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  2            36.0     -0.2793  -0.0521  -0.2052 
1        TC3        2,3                  C,C                  2            36.0     -0.2609  -0.2672  -0.0349 
2        SC4        4,5,22               C,C,C                4            54.0     -0.0560  -0.2034  0.1158  
3        TC5        6,10                 C,C                  3            36.0     0.1837   -0.2767  -0.0038 
4        SP2        7,8,9                C,O,O                1            54.0     0.0502   -0.5218  -0.0475 
5        TC3        11,21                C,C                  3            36.0     0.1426   -0.0267  0.1025  
6        SN4a       12,13,14             O,C,O                2            54.0     0.3534   0.0557   0.0642  
7        TC5        15,16                c,c                  3            36.0     0.5001   0.0702   -0.1343 
8        TC5        17,18                c,c                  2            36.0     0.6889   0.1960   -0.2575 
9        TC5        19,20                c,c                  2            36.0     0.6155   0.3171   -0.0034 
10       TC4        23,24                C,C                  3            36.0     -0.1312  0.1446   -0.0785 
11       TC3        25,26                C,C                  2            36.0     -0.2814  0.0740   0.1838  
12       TC5        27,31                c,c                  3            36.0     -0.3068  0.3302   0.1388  
13       TC5        28,29                c,c                  2            36.0     -0.4957  0.3359   -0.0431 
14       TN2a       30                   o                    2            36.0     -0.3628  0.4588   0.0474  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        10       1.0     
1        2        1.0     
2        3        1.0     
2        5        1.0     
2        10       1.0     
3        4        1.0     
3        5        1.0     
5        6        1.0     
6        7        1.0     
7        8        1.5     
7        9        1.5     
8        9        1.5     
10       11       1.0     
11       12       1.0     
12       13       1.5     
12       14       1.5     
13       14       1.5     
