Compound: TPCN02248
SMILES:   C=C1C2CCC3C4(C)CC(OC5OC(CO)C(O)C(O)C5OC(=O)C(C)=CC)CC(C(=O)O)(C(=O)O)C4CCC3(C2)C1O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  2            36.0     -0.6522  0.0657   0.2821  
1        SC3        2,39,40              C,C,C                4            54.0     -0.3800  0.2191   0.1951  
2        SC3        3,4,5                C,C,C                2            54.0     -0.3051  -0.0312  0.2370  
3        SC4        6,7,36               C,C,C                4            54.0     -0.0556  0.0960   0.0462  
4        SN6        8,9,10               C,C,O                3            54.0     -0.0028  -0.1698  -0.0122 
5        TC3        11,20                C,C                  4            36.0     0.3037   -0.0972  -0.1073 
6        TN4a       12,13                O,C                  3            36.0     0.3416   -0.2386  -0.3150 
7        TP1        14,15                C,O                  1            36.0     0.3829   -0.4488  -0.1945 
8        SP4        16,17,18,19          C,O,C,O              2            54.0     0.5706   -0.1479  -0.1850 
9        SN4a       21,22,23             O,C,O                2            54.0     0.3882   0.1042   0.0535  
10       C4         24,25,26,27          C,C,C,C              1            72.0     0.3384   0.2001   0.3577  
11       TC3        28,29                C,C                  4            36.0     -0.0975  -0.1646  -0.2353 
12       SP2        30,31,32             C,O,O                1            54.0     -0.3398  -0.0275  -0.3483 
13       SP2        33,34,35             C,O,O                1            54.0     -0.0112  0.0879   -0.4094 
14       TC3        37,38                C,C                  2            36.0     -0.2979  0.2173   -0.1341 
15       TN6        41,42                C,O                  2            36.0     -0.5723  0.0377   0.0160  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        15       1.0     
1        2        1.0     
1        14       1.0     
1        15       1.0     
2        3        1.0     
3        4        1.0     
3        11       1.0     
3        14       1.0     
4        5        1.0     
4        11       1.0     
5        6        1.0     
5        8        1.0     
5        9        1.0     
6        7        1.0     
6        8        1.0     
9        10       1.0     
11       12       1.0     
11       13       1.0     
