Compound: TPCN02268
SMILES:   CCN1CC2(C)CCC(OC)C34C5CC6CCC(O)(C5C(=O)O6)C(C(O)C23)C14

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC3        0,1                  C,C                  1            36.0     0.1983   0.3755   0.0569  
1        TN6d       2,3                  N,C                  3            36.0     0.2556   0.1535   -0.0518 
2        SC4        4,5,26               C,C,C                4            54.0     0.2091   -0.0535  -0.2201 
3        SC3        6,7,8                C,C,C                3            54.0     0.2619   -0.1281  0.0870  
4        TN3r       9,10                 O,C                  1            36.0     0.0781   -0.3420  0.2365  
5        TC5        11,27                C,C                  5            36.0     0.0207   0.0613   0.0933  
6        SC5        12,13,19             C,C,C                4            54.0     -0.1741  -0.1352  0.0726  
7        TN4a       14,22                C,O                  3            36.0     -0.3894  -0.2075  0.0241  
8        TC3        15,16                C,C                  2            36.0     -0.3683  -0.0035  -0.1382 
9        SN6        17,18,23             C,O,C                4            54.0     -0.1828  0.2130   -0.0048 
10       TN6a       20,21                C,O                  2            36.0     -0.3819  -0.0050  0.2214  
11       TN6        24,25                C,O                  2            36.0     -0.0367  0.0545   -0.2446 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        5        1.0     
2        3        1.0     
2        5        1.0     
2        11       1.0     
3        4        1.0     
3        5        1.0     
5        6        1.0     
5        9        1.0     
6        7        1.0     
6        9        1.0     
6        10       1.0     
7        8        1.0     
7        10       1.0     
8        9        1.0     
9        11       1.0     
