Compound: TPCN02319
SMILES:   CC(=O)OC1CC(OC2OC(CO)C(O)C(O)C2O)C5CCC3C(=O)OC(c4ccoc4)CC3(C)C5C1OC(C)=O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SN4a       0,1,2,3              C,C,O,O              1            54.0     -0.0916  -0.3832  0.3129  
1        SC3        4,5,36               C,C,C                4            54.0     0.0116   -0.1045  0.1103  
2        TN6        6,7                  C,O                  3            36.0     0.1590   0.0935   0.0241  
3        SN4a       8,9,10               C,O,C                4            54.0     0.4287   0.1155   0.0176  
4        TP1        11,12                C,O                  1            36.0     0.6356   0.0057   0.2046  
5        SP4        13,14,15,16          C,O,C,O              2            54.0     0.5684   -0.0428  -0.1761 
6        TN6        17,18                C,O                  2            36.0     0.4330   0.1907   -0.2320 
7        TC5        19,35                C,C                  4            36.0     -0.0663  0.0638   -0.0337 
8        TC3        20,21                C,C                  2            36.0     -0.0748  0.2957   -0.1155 
9        SC4        22,32,33,34          C,C,C,C              4            54.0     -0.3047  0.0314   -0.1188 
10       TN6a       23,24                C,O                  2            36.0     -0.3947  0.2757   -0.2637 
11       TN4a       25,26                O,C                  3            36.0     -0.5028  0.1400   -0.0568 
12       TC5        27,31                c,c                  3            36.0     -0.6349  0.2702   0.0824  
13       TC5        28,29                c,c                  2            36.0     -0.5826  0.1569   0.3135  
14       TN2a       30                   o                    2            36.0     -0.7037  0.2974   0.2327  
15       SN4a       37,38,39,40          O,C,C,O              1            54.0     -0.0744  -0.4205  -0.1186 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        7        1.0     
1        15       1.0     
2        3        1.0     
2        7        1.0     
3        4        1.0     
3        5        1.0     
3        6        1.0     
5        6        1.0     
7        8        1.0     
7        9        1.0     
8        9        1.0     
9        10       1.0     
9        11       1.0     
10       11       1.0     
11       12       1.0     
12       13       1.5     
12       14       1.5     
13       14       1.5     
