Compound: TPCN02327
SMILES:   CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6O)C(C(OC)C23)C14

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC3        0,1                  C,C                  1            36.0     -0.0536  0.2202   0.3217  
1        TN6d       2,3                  N,C                  3            36.0     -0.2556  0.1130   0.1302  
2        SC5        4,27,30              C,C,C                6            54.0     -0.1466  0.0577   -0.1066 
3        SN3r       5,6,7                C,O,C                1            54.0     -0.4142  0.2081   -0.2089 
4        SC3        8,9,10               C,C,C                3            54.0     -0.2795  -0.1917  0.0384  
5        TN3r       11,12                O,C                  1            36.0     -0.0054  -0.2750  0.2768  
6        TC5        13,31                C,C                  5            36.0     0.0030   -0.0018  0.0926  
7        TC5        14,23                C,C                  4            36.0     0.1109   -0.1014  -0.0956 
8        TC3        15,16                C,C                  3            36.0     0.2283   -0.2992  -0.0556 
9        TC3        17,20                C,C                  3            36.0     0.3666   -0.0096  0.0184  
10       TN3r       18,19                O,C                  1            36.0     0.4758   -0.1055  0.2156  
11       SN6        21,22,26             C,O,C                4            54.0     0.1695   0.1602   -0.0892 
12       TN6        24,25                C,O                  2            36.0     0.2847   -0.1861  -0.2822 
13       TN3r       28,29                O,C                  1            36.0     -0.0170  0.2779   -0.2946 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        6        1.0     
2        3        1.0     
2        4        1.0     
2        6        1.0     
2        11       1.0     
2        13       1.0     
4        5        1.0     
4        6        1.0     
6        7        1.0     
6        11       1.0     
7        8        1.0     
7        11       1.0     
7        12       1.0     
8        9        1.0     
8        12       1.0     
9        10       1.0     
9        11       1.0     
