Compound: TPCN02456
SMILES:   COCC12CNC3C4C(OC)C1C3(C(OC)CC2O)C5CC7(O)C(OC)C(O)C4(OC(C)=O)C5C7OC(=O)c6ccccc6

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SN3r       0,1,2                C,O,C                1            54.0     -0.4140  0.3123   0.1891  
1        TC5        3,11                 C,C                  5            36.0     -0.2151  0.1156   0.0338  
2        TN6d       4,5                  C,N                  2            36.0     -0.3735  -0.1318  0.0776  
3        SC5        6,12,19              C,C,C                6            54.0     -0.0559  -0.0641  -0.0597 
4        TC3        7,8                  C,C                  4            36.0     -0.1388  -0.0660  0.2026  
5        TN3r       9,10                 O,C                  1            36.0     -0.0687  0.1937   0.3284  
6        TC3        13,16                C,C                  3            36.0     -0.2227  0.0897   -0.2476 
7        TN3r       14,15                O,C                  1            36.0     -0.2524  -0.1585  -0.3700 
8        TN6        17,18                C,O                  2            36.0     -0.4445  0.0999   -0.1356 
9        SN6        20,21,22             C,C,O                3            54.0     0.1736   -0.1702  -0.2159 
10       SN6        23,26,27             C,C,O                3            54.0     0.1370   -0.3532  0.0842  
11       TN3r       24,25                O,C                  1            36.0     0.1212   -0.5097  -0.1500 
12       SC5        28,33,34             C,C,C                6            54.0     0.1869   -0.0619  0.0619  
13       SN4a       29,30,31,32          O,C,C,O              1            54.0     0.1356   -0.1329  0.4594  
14       SN4a       35,36,37             O,C,O                2            54.0     0.3800   0.0919   0.0002  
15       TC5        38,39                c,c                  3            36.0     0.5069   0.3083   -0.0184 
16       TC5        40,41                c,c                  2            36.0     0.5910   0.4934   -0.1775 
17       TC5        42,43                c,c                  2            36.0     0.4444   0.2818   -0.3128 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        3        1.0     
1        4        1.0     
1        8        1.0     
2        3        1.0     
3        4        1.0     
3        6        1.0     
3        9        1.0     
3        12       1.0     
4        5        1.0     
4        12       1.0     
6        7        1.0     
6        8        1.0     
9        10       1.0     
9        12       1.0     
10       11       1.0     
10       12       1.0     
12       13       1.0     
12       14       1.0     
14       15       1.0     
15       16       1.5     
15       17       1.5     
16       17       1.5     
