Compound: TPCN02512
SMILES:   CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(O)(C(CC23O)C14)C5C6O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC3        0,1                  C,C                  1            36.0     -0.0837  0.1742   -0.3460 
1        TN6d       2,3                  N,C                  3            36.0     -0.2084  0.1405   -0.1195 
2        SN6        4,27,28              C,C,O                5            54.0     -0.1979  -0.0219  0.1610  
3        SN3r       5,6,7                C,O,C                1            54.0     -0.5038  0.1734   0.1200  
4        TN6        8,9                  C,O                  2            36.0     -0.3961  -0.0972  -0.0584 
5        TC3        10,11                C,C                  3            36.0     -0.1850  -0.2265  -0.0311 
6        TN3r       12,13                O,C                  1            36.0     -0.0021  -0.3734  -0.1529 
7        TC5        14,29                C,C                  5            36.0     0.0312   -0.0014  -0.0481 
8        TC5        15,30                C,C                  4            36.0     0.1178   -0.0720  0.1998  
9        SN6        16,17,18             C,C,O                3            54.0     0.3258   -0.1919  0.0538  
10       TC3        19,22                C,C                  3            36.0     0.3669   0.1090   -0.0092 
11       TN3r       20,21                O,C                  1            36.0     0.5006   -0.0642  -0.2037 
12       SN6        23,24,25,26          C,O,C,C              4            54.0     0.0617   0.2073   0.1299  
13       TN6        31,32                C,O                  2            36.0     0.3529   -0.0327  0.2840  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        7        1.0     
2        3        1.0     
2        4        1.0     
2        7        1.0     
2        12       1.0     
4        5        1.0     
5        6        1.0     
5        7        1.0     
7        8        1.0     
7        12       1.0     
8        9        1.0     
8        12       1.0     
8        13       1.0     
9        10       1.0     
9        13       1.0     
10       11       1.0     
10       12       1.0     
