Compound: TPCN02580
SMILES:   CC1(C(=O)OC2OC(CO)C(O)C(O)C2O)CCCC5(C)C3=CCC4CC3(CCC15)CC4(O)CO

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  3            36.0     -0.1444  -0.2842  0.0130  
1        SN4a       2,3,4                C,O,O                2            54.0     -0.2299  -0.0284  0.0778  
2        SN4a       5,6,7                C,O,C                4            54.0     -0.4659  0.1150   0.0243  
3        TP1        8,9                  C,O                  1            36.0     -0.6990  0.0154   0.1563  
4        TN6        10,11                C,O                  2            36.0     -0.7185  0.1677   -0.1188 
5        TN6        12,13                C,O                  2            36.0     -0.5437  0.2655   -0.2460 
6        TN6        14,15                C,O                  2            36.0     -0.3436  0.1389   -0.2166 
7        SC3        16,17,18             C,C,C                2            54.0     0.0773   -0.2770  0.1867  
8        SC4        19,20,29             C,C,C                4            54.0     0.1628   -0.1917  -0.1217 
9        TC5        21,26                C,C                  5            36.0     0.2929   -0.0159  0.0235  
10       TC3        22,23                C,C                  2            36.0     0.4491   -0.0977  0.2133  
11       TC3        24,25                C,C                  3            36.0     0.3924   0.1645   0.1471  
12       TC3        27,28                C,C                  2            36.0     0.0968   0.1043   -0.0504 
13       SN6        30,31,32             C,C,O                3            54.0     0.5227   0.0404   -0.0885 
14       TP1        33,34                C,O                  1            36.0     0.6628   0.2460   -0.0340 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        7        1.0     
0        8        1.0     
1        2        1.0     
2        3        1.0     
2        4        1.0     
2        6        1.0     
4        5        1.0     
5        6        1.0     
7        8        1.0     
8        9        1.0     
8        12       1.0     
9        10       2.0     
9        11       1.0     
9        12       1.0     
9        13       1.0     
10       11       1.0     
11       13       1.0     
13       14       1.0     
