Compound: TPCN02581
SMILES:   C=C1C2C(OC(=O)c3ccccc3)C8C4N(C)C5C(OC(C)=O)C8(C1OC(C)=O)C(C2OC(C)=O)C46C(OC(C)=O)C(OC(=O)c7ccccc7)CC(C)(C=O)C56

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,24               C,C,C                3            54.0     -0.4357  -0.0746  0.0519  
1        TC3        2,3                  C,C                  4            36.0     -0.2217  0.1376   0.0619  
2        SN4a       4,5,6                O,C,O                2            54.0     -0.2376  0.2864   -0.1660 
3        TC5        7,8                  c,c                  3            36.0     -0.4738  0.3303   -0.2226 
4        TC5        9,10                 c,c                  2            36.0     -0.6454  0.4801   -0.3438 
5        TC5        11,12                c,c                  2            36.0     -0.3700  0.5676   -0.3780 
6        TC5        13,23                C,C                  5            36.0     -0.1667  -0.0209  -0.1359 
7        SC4        14,15,16             C,N,C                3            54.0     0.0138   0.0029   -0.3043 
8        SC3        17,18,56             C,C,C                5            54.0     0.0145   -0.2285  -0.1581 
9        SN4a       19,20,21,22          O,C,C,O              1            54.0     -0.0973  -0.5465  -0.1279 
10       SN4a       25,26,27,28          O,C,C,O              1            54.0     -0.4697  -0.2599  -0.2930 
11       SC3        29,30,35             C,C,C                6            54.0     -0.0896  -0.0941  0.1160  
12       SN4a       31,32,33,34          O,C,C,O              1            54.0     -0.0645  0.1565   0.4225  
13       N3r        36,37,41,51          C,O,C,C              4            72.0     0.2669   -0.0607  0.1043  
14       SN4a       38,39,40             C,C,O                1            54.0     0.3808   0.2895   -0.0004 
15       SN4a       42,43,44             O,C,O                2            54.0     0.3680   -0.0880  0.3354  
16       TC5        45,46                c,c                  3            36.0     0.5102   0.1073   0.3860  
17       TC5        47,48                c,c                  2            36.0     0.6851   0.2161   0.5416  
18       TC5        49,50                c,c                  2            36.0     0.6033   -0.0498  0.6267  
19       N6a        52,53,54,55          C,C,C,O              2            72.0     0.3342   -0.2106  -0.1601 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        6        1.0     
0        10       1.0     
1        2        1.0     
1        6        1.0     
1        11       1.0     
2        3        1.0     
3        4        1.5     
3        5        1.5     
4        5        1.5     
6        7        1.0     
6        8        1.0     
6        11       1.0     
7        8        1.0     
7        11       1.0     
8        9        1.0     
8        11       1.0     
8        19       1.0     
11       12       1.0     
11       13       1.0     
13       14       1.0     
13       15       1.0     
13       19       1.0     
15       16       1.0     
16       17       1.5     
16       18       1.5     
17       18       1.5     
