Compound: TPCN02686
SMILES:   CCN1CC2CCC(OC)C34C2C(OC(C)=O)C6(OCOC65CC(OC)C7CC3(O)C5C7O)C14

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC3        0,1                  C,C                  1            36.0     -0.4030  -0.0243  0.2566  
1        TN6d       2,3                  N,C                  3            36.0     -0.3395  0.0388   0.0165  
2        TC5        4,11                 C,C                  4            36.0     -0.1388  0.1077   -0.1375 
3        SC3        5,6,7                C,C,C                3            54.0     -0.2257  -0.0900  -0.2524 
4        TN3r       8,9                  O,C                  1            36.0     -0.2078  -0.4119  -0.1305 
5        TC5        10,33                C,C                  5            36.0     -0.0923  -0.1008  0.0743  
6        SC3        12,17,21             C,C,C                6            54.0     -0.0224  0.1122   0.0955  
7        SN4a       13,14,15,16          O,C,C,O              1            54.0     0.0524   0.4429   -0.0704 
8        SN5a       18,19,20             O,C,O                1            54.0     0.0802   0.1279   0.3219  
9        SC3        22,23,26,27          C,C,C,C              4            54.0     0.2772   -0.0150  -0.0547 
10       TN3r       24,25                O,C                  1            36.0     0.5286   0.1021   -0.1581 
11       SN6        28,29,30             C,O,C                4            54.0     0.0852   -0.2205  0.0670  
12       TN6        31,32                C,O                  2            36.0     0.3341   -0.1955  0.1602  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        5        1.0     
2        3        1.0     
2        5        1.0     
2        6        1.0     
3        4        1.0     
3        5        1.0     
5        6        1.0     
5        11       1.0     
6        7        1.0     
6        8        1.0     
6        9        1.0     
6        11       1.0     
9        10       1.0     
9        11       1.0     
9        12       1.0     
11       12       1.0     
