Compound: TPCN02714
SMILES:   COC(=O)C1(C)CCCC2(C)C3CCC(=CC(=O)OC4CCC5(C)C6CCC(=CC(=O)NCCO)C(C)C6C(O)C(=O)C5C4C)C(C)C3C(O)C(=O)C12

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        N4a        0,1,2,3              C,O,C,O              1            72.0     -1.1901  -0.1096  -0.2516 
1        TC4        4,5                  C,C                  3            36.0     -1.0655  0.1230   0.0130  
2        SC3        6,7,8                C,C,C                2            54.0     -0.9307  -0.1161  0.1827  
3        SC4        9,10,52              C,C,C                4            54.0     -0.7921  0.1049   0.0960  
4        TC5        11,47                C,C                  4            36.0     -0.5737  0.0263   -0.0140 
5        SC3        12,13,14             C,C,C                3            54.0     -0.4222  -0.0971  0.1176  
6        SN4a       15,16,17,18          C,C,O,O              2            54.0     -0.0928  0.0224   0.0414  
7        SC3        19,20,21             C,C,C                3            54.0     0.2897   0.1074   0.1857  
8        SC4        22,23,42             C,C,C                4            54.0     0.4259   -0.1465  0.2001  
9        TC5        24,37                C,C                  4            36.0     0.6297   0.0488   0.0993  
10       SC3        25,26,27             C,C,C                3            54.0     0.7622   -0.1963  0.0641  
11       SN4a       28,29,30             C,C,O                2            54.0     1.0292   -0.0229  -0.1267 
12       TN6d       31,32                N,C                  2            36.0     1.2730   0.0325   -0.2497 
13       TP1d       33,34                C,O                  1            36.0     1.3782   0.1819   -0.0747 
14       TC4        35,36                C,C                  2            36.0     0.8526   0.1430   0.0641  
15       TN6        38,39                C,O                  2            36.0     0.5815   0.0498   -0.1714 
16       TN6a       40,41                C,O                  2            36.0     0.3820   0.0163   -0.1227 
17       TC4        43,44                C,C                  2            36.0     0.1668   -0.1629  -0.0331 
18       TC4        45,46                C,C                  2            36.0     -0.3738  0.0190   -0.2250 
19       TN6        48,49                C,O                  2            36.0     -0.6325  0.2169   -0.1860 
20       TN6a       50,51                C,O                  2            36.0     -0.8336  0.1415   -0.1792 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        3        1.0     
2        3        1.0     
3        4        1.0     
3        20       1.0     
4        5        1.0     
4        18       1.0     
4        19       1.0     
5        6        2.0     
5        18       1.0     
6        7        1.0     
7        8        1.0     
7        17       1.0     
8        9        1.0     
8        16       1.0     
8        17       1.0     
9        10       1.0     
9        14       1.0     
9        15       1.0     
10       11       2.0     
10       14       1.0     
11       12       1.0     
12       13       1.0     
15       16       1.0     
19       20       1.0     
