Compound: TPCN02931
SMILES:   CC1(C)C(O)C(=O)CC2(C)C3CCC4CC3(CCC12)CC4(O)CO

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,2                C,C,C                2            54.0     -0.3225  0.0654   0.1299  
1        TN6        3,4                  C,O                  2            36.0     -0.4134  0.0974   -0.1333 
2        SN6a       5,6,7                C,O,C                2            54.0     -0.1739  0.0738   -0.2442 
3        SC4        8,9,18               C,C,C                4            54.0     -0.0992  -0.1772  -0.1220 
4        TC5        10,15                C,C                  5            36.0     0.0940   -0.0255  -0.0306 
5        TC3        11,12                C,C                  2            36.0     0.1571   0.1985   -0.1036 
6        TC3        13,14                C,C                  3            36.0     0.2141   0.1341   0.1555  
7        TC3        16,17                C,C                  2            36.0     -0.0734  -0.1417  0.1891  
8        SN6        19,20,21             C,C,O                3            54.0     0.3245   -0.1098  0.1128  
9        TP1        22,23                C,O                  1            36.0     0.4637   -0.0767  -0.0872 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        3        1.0     
1        2        1.0     
2        3        1.0     
3        4        1.0     
3        7        1.0     
4        5        1.0     
4        6        1.0     
4        7        1.0     
4        8        1.0     
5        6        1.0     
6        8        1.0     
8        9        1.0     
