Compound: TPCN03007
SMILES:   CCN1CC23OC2CC(O)C74C5CC6C(OC)CC(O)(C5C6O)C(O)(C(OC)C37)C14

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC3        0,1                  C,C                  1            36.0     -0.2807  0.2568   -0.2066 
1        TN6d       2,3                  N,C                  3            36.0     -0.3255  0.0781   -0.0238 
2        P4         4,5,6                C,O,C                3            72.0     -0.3204  -0.1813  0.0873  
3        SN6        7,8,9                C,C,O                2            54.0     -0.1983  -0.2220  -0.1727 
4        TC5        10,29                C,C                  5            36.0     -0.0488  0.0101   -0.0707 
5        TC5        11,20                C,C                  4            36.0     0.1163   -0.0995  0.0592  
6        TC3        12,13                C,C                  3            36.0     0.2602   -0.2355  -0.0624 
7        TC3        14,17                C,C                  3            36.0     0.2818   0.0851   -0.0846 
8        TN3r       15,16                O,C                  1            36.0     0.5156   0.1017   -0.1879 
9        SP4        18,19,23,24          C,O,C,O              4            54.0     0.0879   0.1874   0.1340  
10       TN6        21,22                C,O                  2            36.0     0.3469   -0.1732  0.1735  
11       SC5        25,28                C,C                  4            54.0     -0.0934  -0.0413  0.1964  
12       TN3r       26,27                O,C                  1            36.0     -0.2424  0.1028   0.3536  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        4        1.0     
2        3        1.0     
2        11       1.0     
3        4        1.0     
4        5        1.0     
4        9        1.0     
4        11       1.0     
5        6        1.0     
5        9        1.0     
5        10       1.0     
6        7        1.0     
6        10       1.0     
7        8        1.0     
7        9        1.0     
9        11       1.0     
11       12       1.0     
