Compound: TPCN03124
SMILES:   CCCCCC=CCC=CCCCCCCCC(=O)OC12C(O)C(OC)C3(O)CC(C1C3OC(=O)c5ccccc5)C67C(OC)CC(O)C4(COC)CN(CC)C6C2C(OC)C47

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        C1         0,1,2,3              C,C,C,C              1            72.0     1.4702   -0.0435  0.0988  
1        C4         4,5,6,7              C,C,C,C              2            72.0     1.0294   -0.0457  0.0709  
2        C4         8,9,10,11            C,C,C,C              2            72.0     0.7334   0.2307   0.1340  
3        C1         12,13,14,15          C,C,C,C              2            72.0     0.3126   0.1683   0.0459  
4        SN4a       16,17,18,19          C,C,O,O              2            54.0     0.0119   0.0296   -0.0813 
5        SC5        20,30,31             C,C,C                6            54.0     -0.3411  0.1479   -0.0476 
6        TN6        21,22                C,O                  2            36.0     -0.2057  0.0681   0.2264  
7        SN6        23,26,27             C,C,O                4            54.0     -0.4263  0.3350   0.1541  
8        TN3r       24,25                O,C                  1            36.0     -0.3582  0.2739   0.4291  
9        SC4        28,29,41             C,C,C                5            54.0     -0.5653  0.0936   0.0740  
10       SN4a       32,33,34             O,C,O                2            54.0     -0.3720  0.3078   -0.2424 
11       TC5        35,36                c,c                  3            36.0     -0.5839  0.3671   -0.3548 
12       TC5        37,38                c,c                  2            36.0     -0.7005  0.4638   -0.5639 
13       TC5        39,40                c,c                  2            36.0     -0.4107  0.4532   -0.5871 
14       TC3        42,45                C,C                  3            36.0     -0.7669  -0.1262  0.0059  
15       TN3r       43,44                O,C                  1            36.0     -0.7132  -0.1642  0.3026  
16       TN6        46,47                C,O                  2            36.0     -0.7709  -0.3175  -0.1763 
17       TC5        48,61                C,C                  5            36.0     -0.5256  -0.1994  -0.1355 
18       SN3r       49,50,51             C,O,C                1            54.0     -0.5172  -0.5086  -0.3210 
19       TN6d       52,53                C,N                  3            36.0     -0.5070  -0.4076  0.0534  
20       TC3        54,55                C,C                  1            36.0     -0.3375  -0.3935  0.2951  
21       SC4        56,57,58             C,C,C                5            54.0     -0.3291  -0.1809  0.0422  
22       TN3r       59,60                O,C                  1            36.0     -0.1689  -0.1865  -0.2629 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
2        3        1.0     
3        4        1.0     
4        5        1.0     
5        6        1.0     
5        7        1.0     
5        9        1.0     
5        10       1.0     
5        21       1.0     
6        7        1.0     
7        8        1.0     
7        9        1.0     
9        14       1.0     
9        17       1.0     
9        21       1.0     
10       11       1.0     
11       12       1.5     
11       13       1.5     
12       13       1.5     
14       15       1.0     
14       16       1.0     
16       17       1.0     
17       18       1.0     
17       19       1.0     
17       21       1.0     
19       20       1.0     
19       21       1.0     
21       22       1.0     
