Compound: TPCN03263
SMILES:   CC(=O)c1c(O)c2ccc3c(c2c4oc(C)nc14)CCCC3(C)C

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SN4a       0,1,2                C,C,O                1            54.0     0.5447   -0.0662  0.1142  
1        SN6        3,4,5                c,c,O                3            54.0     0.2347   -0.2289  0.1491  
2        TC5e       6,11                 c,c                  4            36.0     0.0555   -0.0794  0.0521  
3        TC5        7,8                  c,c                  2            36.0     -0.1059  -0.2738  0.0689  
4        TC5        9,10                 c,c                  4            36.0     -0.1440  -0.0371  -0.0134 
5        TC5        12,17                c,c                  4            36.0     0.2075   0.0643   0.0366  
6        TN2a       13                   o                    2            36.0     0.1414   0.2012   -0.0280 
7        SN6a       14,15,16             c,C,n                2            54.0     0.3104   0.3414   -0.0406 
8        SC3        18,19,20             C,C,C                2            54.0     -0.2614  0.1600   -0.0919 
9        SC4        21,22,23             C,C,C                2            54.0     -0.4081  -0.1307  -0.0572 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.5     
1        5        1.5     
2        3        1.5     
2        4        1.5     
2        5        1.5     
3        4        1.5     
4        8        1.0     
4        9        1.0     
5        6        1.5     
5        7        1.5     
6        7        1.5     
8        9        1.0     
