Compound: TPCN03278
SMILES:   C=C1C2CC(O)C3C45COC(O)(CC4C(C)(C)CCC5O)C3(C2)C1O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  2            36.0     0.3922   0.2119   -0.0522 
1        SC3        2,21,22              C,C,C                4            54.0     0.2940   -0.0979  -0.0634 
2        SN6        3,4,5,6,7            C,C,O,C,C            4            54.0     0.1574   -0.0342  0.1703  
3        TN4a       8,9                  C,O                  2            36.0     -0.0378  -0.2693  -0.0349 
4        TN6        10,11                C,O                  3            36.0     0.0883   -0.1340  -0.2835 
5        TC3        12,13                C,C                  3            36.0     -0.1501  -0.0273  -0.1698 
6        SC4        14,15,16             C,C,C                2            54.0     -0.3265  0.1431   -0.0575 
7        TC3        17,18                C,C                  2            36.0     -0.2133  0.1028   0.2139  
8        TN6        19,20                C,O                  2            36.0     -0.1832  -0.1897  0.2005  
9        TN6        23,24                C,O                  2            36.0     0.1704   0.1380   -0.2106 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        9        1.0     
1        2        1.0     
1        4        1.0     
1        9        1.0     
2        3        1.0     
2        5        1.0     
2        8        1.0     
3        4        1.0     
4        5        1.0     
5        6        1.0     
6        7        1.0     
7        8        1.0     
