Compound: TPCN03335
SMILES:   COC(=O)C1(C)CCCC2(C)C3CCC(=CC(=O)N(C)CCOC4OC(CO)C(O)C(O)C4O)C(C)C3C(=O)C(O)C12

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        N4a        0,1,2,3              C,O,C,O              1            72.0     -0.8655  -0.1601  -0.1232 
1        TC4        4,5                  C,C                  3            36.0     -0.7488  0.0129   0.2174  
2        SC3        6,7,8                C,C,C                2            54.0     -0.5365  -0.2617  0.1241  
3        SC4        9,10,41              C,C,C                4            54.0     -0.4824  -0.0677  -0.0635 
4        TC5        11,36                C,C                  4            36.0     -0.2803  0.0684   0.0158  
5        SC3        12,13,14             C,C,C                3            54.0     -0.0812  -0.0389  0.0741  
6        SN4a       15,16,17             C,C,O                2            54.0     0.1554   0.1544   -0.0350 
7        SN1        18,19,20             N,C,C                2            54.0     0.3849   0.2470   -0.1305 
8        TN3r       21,22                C,O                  2            36.0     0.5151   0.0100   -0.1974 
9        SN4a       23,24,25             C,O,C                4            54.0     0.6940   -0.1178  0.0522  
10       TP1        26,27                C,O                  1            36.0     0.8339   0.0560   0.2788  
11       SP4        28,29,30,31          C,O,C,O              2            54.0     0.9288   -0.0846  -0.0714 
12       TN6        32,33                C,O                  2            36.0     0.7288   -0.2523  -0.1614 
13       TC4        34,35                C,C                  2            36.0     -0.1497  0.3253   0.0412  
14       TN6a       37,38                C,O                  2            36.0     -0.4111  0.2538   -0.0638 
15       TN6        39,40                C,O                  2            36.0     -0.5821  0.1967   0.0514  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        3        1.0     
2        3        1.0     
3        4        1.0     
3        15       1.0     
4        5        1.0     
4        13       1.0     
4        14       1.0     
5        6        2.0     
5        13       1.0     
6        7        1.0     
7        8        1.0     
8        9        1.0     
9        10       1.0     
9        11       1.0     
9        12       1.0     
11       12       1.0     
14       15       1.0     
