Compound: TPCN03510
SMILES:   COC(=O)C1(O)CC(OC2C(OC(=O)C3(C)CCCC4(C)C(CCc5ccoc5)=C(C)CCC34)OC(CO)C(O)C2O)OCCC1=O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        N4a        0,1,2,3              C,O,C,O              1            72.0     0.8532   -0.2497  -0.1757 
1        N5a        4,5,45,46            C,O,C,O              3            72.0     0.5517   -0.2789  0.0066  
2        SN3r       6,7,8                C,C,O                3            54.0     0.5092   0.0242   0.0090  
3        TC3        9,10                 C,C                  4            36.0     0.2194   0.1475   -0.1009 
4        SN4a       11,12,13             O,C,O                2            54.0     0.0603   0.0063   -0.0402 
5        TC4        14,15                C,C                  3            36.0     -0.0160  -0.1082  0.2052  
6        SC3        16,17,18             C,C,C                2            54.0     -0.2240  0.0995   0.2380  
7        SC4        19,20,33             C,C,C                4            54.0     -0.3260  0.0268   0.0127  
8        SC4        21,29,30             C,C,C                3            54.0     -0.5257  -0.2845  -0.0635 
9        TC3        22,23                C,C                  2            36.0     -0.6317  -0.0842  0.1669  
10       TC5        24,28                c,c                  3            36.0     -0.8591  -0.1154  0.0324  
11       TC5        25,26                c,c                  2            36.0     -0.7772  -0.0119  -0.1943 
12       TN2a       27                   o                    2            36.0     -0.9297  -0.1215  -0.1195 
13       TC3        31,32                C,C                  2            36.0     -0.2542  -0.1606  -0.1696 
14       TN4a       34,35                O,C                  3            36.0     0.1304   0.3810   -0.2055 
15       TP1        36,37                C,O                  1            36.0     0.0063   0.4500   -0.0072 
16       SP4        38,39,40,41          C,O,C,O              2            54.0     0.3866   0.3869   -0.1277 
17       SN3r       42,43,44             O,C,C                2            54.0     0.4433   -0.1359  0.2518  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        17       1.0     
2        3        1.0     
2        17       1.0     
3        4        1.0     
3        14       1.0     
3        16       1.0     
4        5        1.0     
5        6        1.0     
5        7        1.0     
6        7        1.0     
7        8        1.0     
7        13       1.0     
8        9        1.0     
8        13       1.0     
9        10       1.0     
10       11       1.5     
10       12       1.5     
11       12       1.5     
14       15       1.0     
14       16       1.0     
