Compound: TPCN03603
SMILES:   CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(CO)C5CCC43C)C2C1

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,2                C,C,C                2            54.0     0.5966   -0.2097  0.0157  
1        TC3        3,4                  C,C                  2            36.0     0.5495   0.0311   -0.1571 
2        SC5        5,32,33              C,C,C                5            54.0     0.3399   -0.0853  -0.0064 
3        SP2        6,7,8                C,O,O                1            54.0     0.4356   0.2186   0.1547  
4        TC3        9,10                 C,C                  2            36.0     0.1933   0.2410   -0.0922 
5        SC4        11,12,13             C,C,C                4            54.0     0.1259   0.0895   0.1594  
6        TC3        14,15                C,C                  2            36.0     -0.0108  -0.1559  -0.1198 
7        SC4        16,30,31             C,C,C                4            54.0     -0.1329  0.1764   0.0163  
8        SC4        17,18,27             C,C,C                4            54.0     -0.3268  -0.0859  -0.1607 
9        TC3        19,20                C,C                  2            36.0     -0.4316  0.1923   -0.0923 
10       SN6a       21,22,23,24          C,O,C,C              3            54.0     -0.5839  -0.1316  -0.0549 
11       TP1        25,26                C,O                  1            36.0     -0.6204  -0.1129  0.2071  
12       TC3        28,29                C,C                  2            36.0     -0.2189  -0.0278  0.1912  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        2        1.0     
1        2        1.0     
2        3        1.0     
2        4        1.0     
2        5        1.0     
4        5        1.0     
5        6        2.0     
5        7        1.0     
6        7        1.0     
7        8        1.0     
7        12       1.0     
8        9        1.0     
8        10       1.0     
8        12       1.0     
9        10       1.0     
10       11       1.0     
