Compound: TPCN03664
SMILES:   CC=C(C)C(=O)OCC12C(O)CC(C)(C)CC1C7=CCC3C4(C)CCC(OC5OC(C(=O)O)C(O)C(OC6OCC(O)C(O)C6OC9OCC(O)C(O)C9O)C5OC8OC(CO)C(O)C(O)C8O)C(C)(C=O)C4CCC3(C)C7(C)CC2O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        C4         0,1,2,3              C,C,C,C              1            72.0     -0.9459  0.4356   -0.2711 
1        N4a        4,5,6,7              C,O,O,C              2            72.0     -0.7317  0.2376   0.0340  
2        SC5        8,15,16              C,C,C                5            54.0     -0.8054  -0.0857  -0.0131 
3        SN6        9,10,11              C,O,C                2            54.0     -0.9881  0.0351   0.2001  
4        SC4        12,13,14             C,C,C                2            54.0     -1.0600  -0.1531  -0.0652 
5        SC4        17,77,78             C,C,C                4            54.0     -0.6048  -0.2673  0.1532  
6        TC3        18,19                C,C                  2            36.0     -0.4853  -0.0647  -0.1715 
7        SC4        20,75,76             C,C,C                4            54.0     -0.3448  -0.3161  0.0379  
8        SC4        21,22,72             C,C,C                4            54.0     -0.1694  -0.0211  0.0027  
9        TC3        23,24                C,C                  2            36.0     -0.0650  -0.0638  -0.2378 
10       SN6        25,26,68,69          C,O,C,C              4            54.0     0.1247   -0.1883  -0.0291 
11       SN4a       27,28,29             C,O,C                4            54.0     0.4101   0.0617   -0.1845 
12       SP2        30,31,32             C,O,O                1            54.0     0.4839   -0.1757  -0.3712 
13       SP4        33,34,35,36          C,O,C,O              3            54.0     0.6363   0.0332   -0.0986 
14       SN4a       37,38,39             C,O,C                3            54.0     0.4919   0.3144   0.1268  
15       SP4        40,41,42,43          C,O,C,O              2            54.0     0.5556   0.5148   -0.0548 
16       TN6        44,45                C,O                  3            36.0     0.7266   0.3497   -0.0327 
17       SN4a       46,47,48             C,O,C                3            54.0     0.9438   0.2168   0.0271  
18       SP4        49,50,51,52          C,O,C,O              2            54.0     1.1582   0.3557   0.0955  
19       TN6        53,54                C,O                  2            36.0     1.0242   0.4742   -0.0884 
20       TN6        55,56                C,O                  3            36.0     0.4273   -0.0828  0.0376  
21       SN4a       57,58,59             C,O,C                4            54.0     0.4439   -0.3320  0.0810  
22       TP1        60,61                C,O                  1            36.0     0.3516   -0.6375  0.0466  
23       SP4        62,63,64,65          C,O,C,O              2            54.0     0.6624   -0.4564  -0.0469 
24       TN6        66,67                C,O                  2            36.0     0.6681   -0.2631  0.2048  
25       TN4a       70,71                C,O                  1            36.0     0.1299   -0.0789  0.1974  
26       TC3        73,74                C,C                  2            36.0     -0.2069  -0.1724  0.2298  
27       SN6        79,80,81             C,C,O                2            54.0     -0.6127  -0.0369  0.3157  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
2        3        1.0     
2        4        1.0     
2        5        1.0     
2        27       1.0     
3        4        1.0     
5        6        2.0     
5        7        1.0     
5        27       1.0     
6        7        1.0     
7        8        1.0     
7        26       1.0     
8        9        1.0     
8        10       1.0     
8        26       1.0     
9        10       1.0     
10       11       1.0     
10       25       1.0     
11       12       1.0     
11       13       1.0     
11       20       1.0     
13       14       1.0     
13       20       1.0     
14       15       1.0     
14       16       1.0     
15       16       1.0     
16       17       1.0     
17       18       1.0     
17       19       1.0     
18       19       1.0     
20       21       1.0     
21       22       1.0     
21       23       1.0     
21       24       1.0     
23       24       1.0     
