Compound: TPCN03756
SMILES:   CC=C(C)C(=O)OC1C(C)OC(OC2C(OC(C)=O)C3(CO)C(O)CC4(C)C(=CCC5C6(C)CCC(OC7OC(C(=O)O)C(O)C(O)C7OC8OC(CO)C(O)C(O)C8O)C(C)(C)C6CCC54C)C3CC2(C)C)C(O)C1OC(=O)C(C)=CC

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        C4         0,1,2,3              C,C,C,C              1            72.0     -1.3529  0.2418   0.1241  
1        SN4a       4,5,6                C,O,O                2            54.0     -1.1259  0.1507   -0.0816 
2        SC4        7,8,9                C,C,C                3            54.0     -0.7881  0.1396   -0.1577 
3        TN4a       10,11                O,C                  3            36.0     -0.7629  0.0689   0.1293  
4        SN6        12,13,14             O,C,C                4            54.0     -0.4832  -0.0421  0.2034  
5        SN4a       15,16,17,18          O,C,C,O              1            54.0     -0.5661  -0.3689  0.2146  
6        SC5        19,68,69             C,C,C                5            54.0     -0.2628  0.1016   0.1253  
7        TP1        20,21                C,O                  1            36.0     -0.1238  -0.0742  0.3213  
8        SN6        22,23,24             C,O,C                2            54.0     -0.1557  -0.2503  0.0353  
9        SC4        25,26,27             C,C,C                4            54.0     -0.1154  -0.0034  -0.1596 
10       TC3        28,29                C,C                  2            36.0     0.0704   0.2081   0.0739  
11       SC4        30,66,67             C,C,C                4            54.0     0.1345   -0.0546  -0.1982 
12       SC4        31,32,63             C,C,C                4            54.0     0.3426   0.1154   -0.2433 
13       TC3        33,34                C,C                  2            36.0     0.4511   0.2750   -0.0406 
14       TN6        35,36                C,O                  3            36.0     0.6473   0.1357   -0.0299 
15       SN4a       37,38,39             C,O,C                4            54.0     0.9194   0.2380   0.0279  
16       SP2        40,41,42             C,O,O                1            54.0     1.0777   0.5366   0.0339  
17       SP4        43,44,45,46          C,O,C,O              2            54.0     1.0615   0.2465   -0.2099 
18       TN6        47,48                C,O                  3            36.0     0.9587   0.0403   -0.0790 
19       SN4a       49,50,51             C,O,C                4            54.0     1.2000   -0.1518  -0.0235 
20       TP1        52,53                C,O                  1            36.0     1.2222   -0.3643  -0.0893 
21       SP4        54,55,56,57          C,O,C,O              2            54.0     1.2884   -0.1616  0.2252  
22       TN6        58,59                C,O                  2            36.0     1.0050   -0.1058  0.1876  
23       SC4        60,61,62             C,C,C                2            54.0     0.6221   -0.0699  -0.1540 
24       TC3        64,65                C,C                  2            36.0     0.2760   -0.1301  0.0340  
25       SC4        70,71,72             C,C,C                2            54.0     -0.4908  0.2475   0.1425  
26       SN6        73,74,75             C,O,C                3            54.0     -0.8474  -0.1310  0.0432  
27       SN4a       76,77,78             O,C,O                2            54.0     -0.9759  -0.2091  -0.1983 
28       C4         79,80,81,82          C,C,C,C              1            72.0     -1.1519  -0.3788  -0.1448 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
2        3        1.0     
2        26       1.0     
3        4        1.0     
3        26       1.0     
4        5        1.0     
4        6        1.0     
4        25       1.0     
6        7        1.0     
6        8        1.0     
6        9        1.0     
6        25       1.0     
8        9        1.0     
9        10       2.0     
9        11       1.0     
10       11       1.0     
11       12       1.0     
11       24       1.0     
12       13       1.0     
12       23       1.0     
12       24       1.0     
13       14       1.0     
14       15       1.0     
14       23       1.0     
15       16       1.0     
15       17       1.0     
15       18       1.0     
17       18       1.0     
18       19       1.0     
19       20       1.0     
19       21       1.0     
19       22       1.0     
21       22       1.0     
26       27       1.0     
27       28       1.0     
