Compound: TPCN03795
SMILES:   CC(C)=CCCC(C)(OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O)C4CCC6(C)C4CCC5C3(C)CCC(O)C(C)(C)C3C(O)CC56C

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC2        0,1,2                C,C,C                1            54.0     0.3248   0.5663   0.0920  
1        SC2        3,4,5                C,C,C                2            54.0     0.1455   0.3249   0.0095  
2        SN3r       6,7,8                C,C,O                3            54.0     0.1318   0.1140   -0.2636 
3        SN4a       9,10,11              C,O,C                4            54.0     0.3417   -0.0207  -0.0073 
4        TN3r       12,13                C,O                  2            36.0     0.4887   -0.0330  0.2427  
5        SN4a       14,15,16             C,O,C                3            54.0     0.7252   -0.1368  0.0073  
6        SP4        17,18,19,20          C,O,C,O              2            54.0     0.9682   -0.1513  0.0485  
7        TN6        21,22                C,O                  2            36.0     0.8191   -0.1354  0.2948  
8        SP4        23,24,25,26          C,O,C,O              2            54.0     0.2837   -0.3106  0.0549  
9        TN6        27,28                C,O                  2            36.0     0.2252   -0.1861  -0.2014 
10       TC3        29,30                C,C                  2            36.0     -0.1047  0.1974   -0.2708 
11       SC3        31,32,33,34          C,C,C,C              3            54.0     -0.2913  0.2945   -0.1003 
12       TC3        35,36                C,C                  2            36.0     -0.2024  0.0310   0.1099  
13       SC4        37,51,52             C,C,C                4            54.0     -0.5211  0.1443   -0.0681 
14       SC4        38,39,47             C,C,C                4            54.0     -0.4759  -0.1383  0.1761  
15       TC3        40,41                C,C                  2            36.0     -0.7427  -0.0920  0.0988  
16       TN6        42,43                C,O                  2            36.0     -0.7652  -0.3482  0.0311  
17       SC4        44,45,46             C,C,C                2            54.0     -0.5308  -0.4235  0.0258  
18       SN6        48,49,50             C,O,C                2            54.0     -0.4515  -0.1067  -0.2158 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        2.0     
1        2        1.0     
2        3        1.0     
2        10       1.0     
3        4        1.0     
3        8        1.0     
3        9        1.0     
4        5        1.0     
5        6        1.0     
5        7        1.0     
6        7        1.0     
8        9        1.0     
10       11       1.0     
11       12       1.0     
11       13       1.0     
12       13       1.0     
13       14       1.0     
13       18       1.0     
14       15       1.0     
14       17       1.0     
14       18       1.0     
15       16       1.0     
16       17       1.0     
