Compound: TPCN03837
SMILES:   CC1CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC7(C(=O)O)C(=CCC4C5(C)CCC(OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC47C)C2C1C

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,55,56            C,C,C,C              2            54.0     0.3739   -0.3906  0.1971  
1        TC3        2,3                  C,C                  2            36.0     0.5626   -0.3878  -0.0643 
2        TC5        4,54                 C,C                  5            36.0     0.3904   -0.1944  0.0183  
3        SN4a       5,6,7                C,O,O                2            54.0     0.4958   -0.0388  -0.1407 
4        SN4a       8,9,10               C,O,C                4            54.0     0.5718   0.2550   -0.0305 
5        TP1        11,12                C,O                  1            36.0     0.6114   0.4443   0.2110  
6        SP4        13,14,15,16          C,O,C,O              2            54.0     0.8398   0.2975   -0.0899 
7        TN6        17,18                C,O                  2            36.0     0.7752   0.0318   -0.1042 
8        TC3        19,20                C,C                  2            36.0     0.2596   -0.2593  -0.2508 
9        TC5        21,25                C,C                  5            36.0     0.1820   -0.1126  -0.0482 
10       SP2        22,23,24             C,O,O                1            54.0     0.2056   0.1061   -0.2156 
11       TC3        26,27                C,C                  2            36.0     0.0794   -0.0272  0.1800  
12       SC4        28,52,53             C,C,C                4            54.0     -0.0403  -0.1565  -0.0353 
13       SC4        29,30,49             C,C,C                4            54.0     -0.2273  0.1591   0.0353  
14       TC3        31,32                C,C                  2            36.0     -0.3694  -0.0776  0.1026  
15       TN6        33,34                C,O                  3            36.0     -0.5388  0.0690   -0.0342 
16       SN4a       35,36,37             C,O,C                4            54.0     -0.7502  0.1825   0.0619  
17       TP1        38,39                C,O                  1            36.0     -0.7270  0.2488   0.3375  
18       SP4        40,41,42,43          C,O,C,O              2            54.0     -1.0024  0.1499   0.0797  
19       TN6        44,45                C,O                  2            36.0     -0.8906  -0.0099  -0.1162 
20       SC4        46,47,48             C,C,C                2            54.0     -0.4471  0.0220   -0.2543 
21       TC3        50,51                C,C                  2            36.0     -0.1166  -0.0119  -0.2751 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        2        1.0     
1        2        1.0     
2        3        1.0     
2        8        1.0     
2        9        1.0     
3        4        1.0     
4        5        1.0     
4        6        1.0     
4        7        1.0     
6        7        1.0     
8        9        1.0     
9        10       1.0     
9        11       2.0     
9        12       1.0     
11       12       1.0     
12       13       1.0     
12       21       1.0     
13       14       1.0     
13       20       1.0     
13       21       1.0     
14       15       1.0     
15       16       1.0     
15       20       1.0     
16       17       1.0     
16       18       1.0     
16       19       1.0     
18       19       1.0     
