Compound: TPCN03889
SMILES:   COc1ccc(C=CC(=O)OC2C(C)OC(OC(=O)C34CCC(C)(C)CC3C9=CCC5C6(C)CC(O)C(OC7OC(CO)C(O)C(O)C7O)C(C)(C(=O)O)C6CCC5(C)C9(CO)CC4)C(OC%10OC(C)C(OC%11OCC(OC%12OC(CO)C(O)C(O)C%12O)C(O)C%11O)C(O)C%10O)C2OC8OC(C)C(O)C(O)C8O)cc1

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TN2a       0,1                  C,O                  1            36.0     0.0000   0.0000   0.0000  
1        TC5        2,3                  c,c                  3            36.0     0.0000   0.0000   0.0000  
2        TC5        4,5                  c,c                  3            36.0     0.0000   0.0000   0.0000  
3        N4a        6,7,8,9,10           C,C,C,O,O            2            72.0     0.0000   0.0000   0.0000  
4        SN6        11,96,97             C,C,O                4            54.0     0.0000   0.0000   0.0000  
5        TC4        12,13                C,C                  2            36.0     0.0000   0.0000   0.0000  
6        TN4a       14,15                O,C                  3            36.0     0.0000   0.0000   0.0000  
7        SN4a       16,17,18             O,C,O                2            54.0     0.0000   0.0000   0.0000  
8        SC5        19,25,26             C,C,C                5            54.0     0.0000   0.0000   0.0000  
9        TC3        20,21                C,C                  2            36.0     0.0000   0.0000   0.0000  
10       SC4        22,23,24             C,C,C                2            54.0     0.0000   0.0000   0.0000  
11       TC5        27,59                C,C                  5            36.0     0.0000   0.0000   0.0000  
12       TC3        28,29                C,C                  2            36.0     0.0000   0.0000   0.0000  
13       SC4        30,57,58             C,C,C                4            54.0     0.0000   0.0000   0.0000  
14       SC4        31,32,54             C,C,C                4            54.0     0.0000   0.0000   0.0000  
15       SN6        33,34,35             C,C,O                2            54.0     0.0000   0.0000   0.0000  
16       SN6        36,37,49,50          C,O,C,C              4            54.0     0.0000   0.0000   0.0000  
17       SN4a       38,39,40             C,O,C                4            54.0     0.0000   0.0000   0.0000  
18       TP1        41,42                C,O                  1            36.0     0.0000   0.0000   0.0000  
19       SP4        43,44,45,46          C,O,C,O              2            54.0     0.0000   0.0000   0.0000  
20       TN6        47,48                C,O                  2            36.0     0.0000   0.0000   0.0000  
21       SP2        51,52,53             C,O,O                1            54.0     0.0000   0.0000   0.0000  
22       TC3        55,56                C,C                  2            36.0     0.0000   0.0000   0.0000  
23       TN2a       60,61                C,O                  1            36.0     0.0000   0.0000   0.0000  
24       TC3        62,63                C,C                  2            36.0     0.0000   0.0000   0.0000  
25       TN6        64,65                C,O                  3            36.0     0.0000   0.0000   0.0000  
26       TN4a       66,67                C,O                  3            36.0     0.0000   0.0000   0.0000  
27       TC4        68,69                C,C                  2            36.0     0.0000   0.0000   0.0000  
28       SP4        70,71,92,93          C,O,C,O              3            54.0     0.0000   0.0000   0.0000  
29       SN4a       72,73,74             C,O,C                3            54.0     0.0000   0.0000   0.0000  
30       SP4        75,76,88,89          C,O,C,O              3            54.0     0.0000   0.0000   0.0000  
31       SN4a       77,78,79             C,O,C                4            54.0     0.0000   0.0000   0.0000  
32       TP1        80,81                C,O                  1            36.0     0.0000   0.0000   0.0000  
33       SP4        82,83,84,85          C,O,C,O              2            54.0     0.0000   0.0000   0.0000  
34       TN6        86,87                C,O                  2            36.0     0.0000   0.0000   0.0000  
35       TN6        90,91                C,O                  2            36.0     0.0000   0.0000   0.0000  
36       TN6        94,95                C,O                  2            36.0     0.0000   0.0000   0.0000  
37       TN4a       98,99                C,O                  3            36.0     0.0000   0.0000   0.0000  
38       TC4        100,101              C,C                  2            36.0     0.0000   0.0000   0.0000  
39       SP4        102,103,104,105      C,O,C,O              2            54.0     0.0000   0.0000   0.0000  
40       TN6        106,107              C,O                  2            36.0     0.0000   0.0000   0.0000  
41       TC5        108,109              c,c                  2            36.0     0.0000   0.0000   0.0000  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.5     
1        41       1.5     
2        3        1.0     
2        41       1.5     
3        4        1.0     
4        5        1.0     
4        25       1.0     
4        37       1.0     
5        6        1.0     
6        7        1.0     
6        25       1.0     
7        8        1.0     
8        9        1.0     
8        10       1.0     
8        11       1.0     
8        24       1.0     
9        10       1.0     
11       12       2.0     
11       13       1.0     
11       23       1.0     
11       24       1.0     
12       13       1.0     
13       14       1.0     
13       22       1.0     
14       15       1.0     
14       16       1.0     
14       22       1.0     
15       16       1.0     
16       17       1.0     
16       21       1.0     
17       18       1.0     
17       19       1.0     
17       20       1.0     
19       20       1.0     
25       26       1.0     
26       27       1.0     
26       36       1.0     
27       28       1.0     
28       29       1.0     
28       36       1.0     
29       30       1.0     
29       35       1.0     
30       31       1.0     
30       35       1.0     
31       32       1.0     
31       33       1.0     
31       34       1.0     
33       34       1.0     
37       38       1.0     
37       40       1.0     
38       39       1.0     
39       40       1.0     
