Compound: TPCN04178
SMILES:   C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C(=O)O)C5CCC43C)C12

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,2                C,C,C                1            54.0     -0.3475  -0.0568  -0.2863 
1        TC3        3,4                  C,C                  2            36.0     -0.4759  -0.1241  -0.0366 
2        SC3        5,6,34               C,C,C                4            54.0     -0.3272  -0.1947  0.0894  
3        SP2        7,8,9                C,O,O                1            54.0     -0.4755  -0.0005  0.2746  
4        TC3        10,11                C,C                  2            36.0     -0.1075  -0.1627  0.2469  
5        SC4        12,13,14             C,C,C                4            54.0     -0.1593  0.1192   0.2563  
6        TC3        15,16                C,C                  2            36.0     -0.1206  0.1726   -0.1086 
7        SC4        17,32,33             C,C,C                4            54.0     0.0462   0.2092   0.0948  
8        SC4        18,19,29             C,C,C                4            54.0     0.2907   0.1859   -0.0580 
9        TC3        20,21                C,C                  2            36.0     0.2672   0.0214   -0.2935 
10       TN6        22,23                C,O                  2            36.0     0.5419   -0.0174  -0.1940 
11       TC4        24,25                C,C                  3            36.0     0.3266   -0.2203  -0.0766 
12       SP2        26,27,28             C,O,O                1            54.0     0.5910   -0.1197  0.0810  
13       TC3        30,31                C,C                  2            36.0     0.2303   0.0179   0.2078  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
2        3        1.0     
2        4        1.0     
2        5        1.0     
4        5        1.0     
5        6        1.0     
5        7        1.0     
6        7        1.0     
7        8        1.0     
7        13       1.0     
8        9        1.0     
8        11       1.0     
8        13       1.0     
9        10       1.0     
10       11       1.0     
11       12       1.0     
