Compound: TPCN04230
SMILES:   CC1OC(OC2C(CO)OC(OCC3OC(OC(=O)C45CCC(C)(C)CC4C%10=CCC6C7(C)CCC(OC8OCC(OC9OC(CO)C(O)C(O)C9O)C(O)C8OC%11OC(C)C(O)C(O)C%11O)C(C)(CO)C7CCC6(C)C%10(C)CC5)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  2            36.0     1.7386   0.0502   -0.0831 
1        TN4a       2,3                  O,C                  3            36.0     1.5203   0.0735   0.0503  
2        TN6        4,5                  O,C                  3            36.0     1.3396   -0.0140  0.1518  
3        SN4a       6,9,10               C,O,C                4            54.0     1.1351   -0.1397  0.2729  
4        TP1        7,8                  C,O                  1            36.0     1.2835   0.0344   0.4548  
5        TN3r       11,12                O,C                  2            36.0     0.9655   -0.2696  0.0910  
6        SN4a       13,14,15             C,O,C                4            54.0     0.7695   -0.2187  -0.1268 
7        SN4a       16,17,18             O,C,O                2            54.0     0.4950   -0.1615  -0.1936 
8        SC5        19,25,26             C,C,C                5            54.0     0.3278   0.0579   -0.1329 
9        TC3        20,21                C,C                  2            36.0     0.3661   -0.0636  0.1401  
10       SC4        22,23,24             C,C,C                2            54.0     0.4118   0.2253   0.1084  
11       SC4        27,76,77             C,C,C                4            54.0     0.0110   -0.1131  -0.1958 
12       TC3        28,29                C,C                  2            36.0     -0.0303  0.1922   -0.0520 
13       SC4        30,74,75             C,C,C                4            54.0     -0.1018  -0.0428  0.0910  
14       SC4        31,32,71             C,C,C                4            54.0     -0.3493  0.0809   0.1314  
15       TC3        33,34                C,C                  2            36.0     -0.4720  0.1400   -0.1446 
16       TN6        35,36                C,O                  3            36.0     -0.6694  0.0753   -0.0111 
17       SN4a       37,38,39             C,O,C                3            54.0     -0.9435  0.0954   0.1280  
18       TN6        40,41                C,O                  3            36.0     -1.1847  0.0902   0.0834  
19       SN4a       42,43,44             C,O,C                4            54.0     -1.3779  0.1027   0.3048  
20       TP1        45,46                C,O                  1            36.0     -1.5891  0.0773   0.4737  
21       TN6        47,48                C,O                  2            36.0     -1.4438  0.3760   0.2974  
22       TN6        49,50                C,O                  2            36.0     -1.5497  0.3069   0.0867  
23       TN6        51,52                C,O                  2            36.0     -1.4881  0.0701   0.0428  
24       TN6        53,54                C,O                  2            36.0     -1.1340  0.2444   -0.0892 
25       TN6        55,56                C,O                  3            36.0     -0.9687  0.1181   -0.1525 
26       TN4a       57,58                C,O                  3            36.0     -0.9943  0.0513   -0.3440 
27       TC4        59,60                C,C                  2            36.0     -1.2369  -0.0454  -0.5086 
28       TN6        61,62                C,O                  2            36.0     -1.2516  -0.2147  -0.2811 
29       TN6        63,64                C,O                  2            36.0     -1.0601  -0.3124  -0.3444 
30       TN6        65,66                C,O                  2            36.0     -0.8640  -0.1334  -0.3693 
31       TC4        67,68                C,C                  3            36.0     -0.6248  -0.1943  -0.0234 
32       TP1        69,70                C,O                  1            36.0     -0.6330  -0.0688  0.2525  
33       TC3        72,73                C,C                  2            36.0     -0.2724  -0.2380  -0.0169 
34       TC3        78,79                C,C                  2            36.0     0.1814   -0.2761  -0.0530 
35       TN6        80,81                C,O                  2            36.0     0.7185   -0.0141  -0.2783 
36       TN6        82,83                C,O                  2            36.0     0.9573   -0.0683  -0.3394 
37       TN6        84,85                C,O                  2            36.0     1.0336   -0.1466  -0.1512 
38       TN6        86,87                C,O                  2            36.0     1.2405   -0.3694  0.1420  
39       TN6        88,89                C,O                  2            36.0     1.4400   -0.2062  0.2181  
40       TN6        90,91                C,O                  2            36.0     1.3520   0.2681   0.0812  
41       TN6        92,93                C,O                  2            36.0     1.4535   0.3488   -0.1004 
42       TN6        94,95                C,O                  2            36.0     1.6238   0.2301   -0.2126 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        42       1.0     
1        2        1.0     
1        40       1.0     
2        3        1.0     
2        39       1.0     
3        4        1.0     
3        5        1.0     
3        38       1.0     
5        6        1.0     
6        7        1.0     
6        35       1.0     
6        37       1.0     
7        8        1.0     
8        9        1.0     
8        10       1.0     
8        11       1.0     
8        34       1.0     
9        10       1.0     
11       12       2.0     
11       13       1.0     
11       34       1.0     
12       13       1.0     
13       14       1.0     
13       33       1.0     
14       15       1.0     
14       31       1.0     
14       33       1.0     
15       16       1.0     
16       17       1.0     
16       31       1.0     
17       18       1.0     
17       25       1.0     
18       19       1.0     
18       24       1.0     
19       20       1.0     
19       21       1.0     
19       23       1.0     
21       22       1.0     
22       23       1.0     
24       25       1.0     
25       26       1.0     
26       27       1.0     
26       30       1.0     
27       28       1.0     
28       29       1.0     
29       30       1.0     
31       32       1.0     
35       36       1.0     
36       37       1.0     
38       39       1.0     
40       41       1.0     
41       42       1.0     
