Compound: TPCN04462
SMILES:   COC1C=C2C(CCC(O)C2(C)C)C4(C=O)CCC3(C)C(C(C)CC=CC(C)(C)O)CCC3(C)C14

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TN3r       0,1                  C,O                  1            36.0     -0.0932  0.2957   0.0096  
1        TC3        2,3                  C,C                  3            36.0     -0.2864  0.1589   -0.0451 
2        TC5        4,5                  C,C                  4            36.0     -0.3669  -0.0872  0.1053  
3        TC3        6,7                  C,C                  2            36.0     -0.5530  -0.1971  0.0058  
4        TN6        8,9                  C,O                  2            36.0     -0.6955  0.0326   0.0576  
5        SC4        10,11,12             C,C,C                2            54.0     -0.5317  0.0998   0.2602  
6        TC5        13,34                C,C                  5            36.0     -0.2212  -0.0763  -0.1009 
7        TN4a       14,15                C,O                  1            36.0     -0.2101  -0.3213  -0.0582 
8        TC3        16,17                C,C                  2            36.0     -0.0218  -0.0983  0.1276  
9        TC4        18,19                C,C                  3            36.0     0.1282   -0.2359  -0.1104 
10       SC3        20,30,31             C,C,C                3            54.0     0.1063   0.0752   -0.2422 
11       SC2        21,22,23             C,C,C                2            54.0     0.3847   -0.0672  -0.0847 
12       TC5        24,25                C,C                  2            36.0     0.5378   0.0538   0.0921  
13       P1         26,27,28,29          C,C,C,O              1            72.0     0.7494   0.1693   0.1708  
14       TC4        32,33                C,C                  3            36.0     -0.0652  -0.1624  -0.2991 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        2.0     
1        6        1.0     
2        3        1.0     
2        5        1.0     
2        6        1.0     
3        4        1.0     
4        5        1.0     
6        7        1.0     
6        8        1.0     
6        14       1.0     
8        9        1.0     
9        10       1.0     
9        14       1.0     
10       11       1.0     
10       14       1.0     
11       12       1.0     
12       13       1.0     
