Compound: TPCN05380
SMILES:   CC1(C)CCC2(CO)C(O)CC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C(=O)O)C5CCC43C)C2C1

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,2                C,C,C                2            54.0     -0.5490  0.2335   0.0846  
1        TC3        3,4                  C,C                  2            36.0     -0.5843  -0.0518  0.0202  
2        SC5        5,34,35              C,C,C                5            54.0     -0.3351  0.0595   0.0277  
3        TP1        6,7                  C,O                  1            36.0     -0.4133  -0.2327  -0.1792 
4        SN6        8,9,10               C,O,C                2            54.0     -0.2333  -0.2504  0.1151  
5        SC4        11,12,13             C,C,C                4            54.0     -0.0564  -0.0387  0.1369  
6        TC3        14,15                C,C                  2            36.0     -0.0022  0.1725   -0.0793 
7        SC4        16,32,33             C,C,C                4            54.0     0.0585   -0.1461  -0.1763 
8        SC4        17,18,29             C,C,C                4            54.0     0.3538   -0.0582  -0.1911 
9        SN6        19,20,21             C,C,O                2            54.0     0.4236   0.2316   -0.1910 
10       TN6        22,23                C,O                  2            36.0     0.6489   0.1272   -0.0619 
11       TC4        24,25                C,C                  3            36.0     0.4293   0.1454   0.1537  
12       SP2        26,27,28             C,O,O                1            54.0     0.6343   -0.0651  0.1968  
13       TC3        30,31                C,C                  2            36.0     0.2294   -0.1712  0.0826  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        2        1.0     
1        2        1.0     
2        3        1.0     
2        4        1.0     
2        5        1.0     
4        5        1.0     
5        6        2.0     
5        7        1.0     
6        7        1.0     
7        8        1.0     
7        13       1.0     
8        9        1.0     
8        11       1.0     
8        13       1.0     
9        10       1.0     
10       11       1.0     
11       12       1.0     
