Compound: TPCN05935
SMILES:   CC1(C)CCC2(C(=O)OC3OC(COC4OC(COC5OCC(O)C(O)C5O)C(O)C(O)C4OC8OC(CO)C(O)C(O)C8O)C(O)C(O)C3O)C(O)CC7(C)C(=CCC9C%10(C)CCC(OC6OCC(O)C(O)C6O)C(C)(C)C%10CCC97C)C2C1

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,2                C,C,C                2            54.0     -0.0370  -0.4998  0.0990  
1        TC3        3,4                  C,C                  2            36.0     -0.0579  -0.2727  -0.0892 
2        SC5        5,83,84              C,C,C                5            54.0     0.1812   -0.3435  0.0176  
3        SN4a       6,7,8                C,O,O                2            54.0     0.1165   -0.0076  -0.0266 
4        SN4a       9,10,11              C,O,C                4            54.0     -0.1313  0.1175   -0.0100 
5        TN3r       12,13                C,O                  2            36.0     -0.4153  0.1457   -0.0840 
6        SN4a       14,15,16             C,O,C                4            54.0     -0.6804  0.0525   -0.0695 
7        TN3r       17,18                C,O                  2            36.0     -0.9041  -0.1406  -0.0887 
8        SN4a       19,20,21             C,O,C                3            54.0     -0.9132  -0.4036  0.1611  
9        TN6        22,23                C,O                  2            36.0     -1.1739  -0.3412  0.2137  
10       TN6        24,25                C,O                  2            36.0     -1.2088  -0.4621  0.0194  
11       TN6        26,27                C,O                  2            36.0     -1.0052  -0.4243  -0.1056 
12       TN6        28,29                C,O                  2            36.0     -0.8501  0.0043   0.1558  
13       TN6        30,31                C,O                  2            36.0     -0.7159  0.1861   0.2291  
14       TN6        32,33                C,O                  3            36.0     -0.6756  0.2793   0.0362  
15       SN4a       34,35,36             C,O,C                4            54.0     -0.8630  0.5073   0.0573  
16       TP1        37,38                C,O                  1            36.0     -1.1292  0.3571   0.0755  
17       TN6        39,40                C,O                  2            36.0     -1.0210  0.4589   -0.1746 
18       TN6        41,42                C,O                  2            36.0     -0.8725  0.6507   -0.2310 
19       TN6        43,44                C,O                  2            36.0     -0.6917  0.5073   -0.1588 
20       TN6        45,46                C,O                  2            36.0     -0.3397  0.0657   0.1798  
21       TN6        47,48                C,O                  2            36.0     -0.1531  0.0048   0.2828  
22       TN6        49,50                C,O                  2            36.0     0.0218   0.1676   0.2300  
23       SN6        51,52,53             C,O,C                2            54.0     0.3102   -0.1759  -0.2675 
24       SC4        54,55,56             C,C,C                4            54.0     0.4208   -0.3880  -0.1183 
25       TC3        57,58                C,C                  2            36.0     0.4898   -0.1715  0.2055  
26       SC4        59,81,82             C,C,C                4            54.0     0.6727   -0.3203  0.0190  
27       SC4        60,61,78             C,C,C                4            54.0     0.6185   0.0795   -0.0521 
28       SC3        62,63,64             C,C,C                3            54.0     0.8826   0.0703   0.1318  
29       TN6        65,66                O,C                  3            36.0     1.0713   0.2500   -0.0330 
30       TN4a       67,68                O,C                  2            36.0     0.9951   0.4994   -0.0622 
31       TN6        69,70                C,O                  2            36.0     1.1491   0.6304   0.0241  
32       TN6        71,72                C,O                  2            36.0     1.2740   0.4752   0.1670  
33       TN6        73,74                C,O                  2            36.0     1.1775   0.2867   0.1517  
34       SC4        75,76,77             C,C,C                2            54.0     0.9999   -0.0483  -0.1646 
35       TC3        79,80                C,C                  2            36.0     0.7079   -0.1674  -0.2457 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        2        1.0     
1        2        1.0     
2        3        1.0     
2        23       1.0     
2        24       1.0     
3        4        1.0     
4        5        1.0     
4        20       1.0     
4        22       1.0     
5        6        1.0     
6        7        1.0     
6        12       1.0     
6        14       1.0     
7        8        1.0     
8        9        1.0     
8        11       1.0     
9        10       1.0     
10       11       1.0     
12       13       1.0     
13       14       1.0     
14       15       1.0     
15       16       1.0     
15       17       1.0     
15       19       1.0     
17       18       1.0     
18       19       1.0     
20       21       1.0     
21       22       1.0     
23       24       1.0     
24       25       2.0     
24       26       1.0     
25       26       1.0     
26       27       1.0     
26       35       1.0     
27       28       1.0     
27       34       1.0     
27       35       1.0     
28       29       1.0     
28       34       1.0     
29       30       1.0     
29       33       1.0     
30       31       1.0     
31       32       1.0     
32       33       1.0     
