Compound: TPCN06010
SMILES:   CC(=O)OC1C(C)OC(OC(=O)C23CCC(C)(C)CC2C8=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC%11OC(CO)C(O)C(O)C%11O)C(C)(O)C5CCC4(C)C8(C)CC3O)C(OC9OC(C)C(OC%10OCC(O)C(O)C%10O)C(O)C9O)C1OC7OC(CO)C(O)C7O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SN4a       0,1,2,3              C,C,O,O              1            54.0     -0.8285  0.1447   -0.5916 
1        SN6        4,87,88              C,C,O                4            54.0     -0.5433  0.0784   -0.3408 
2        TC4        5,6                  C,C                  2            36.0     -0.5296  0.3930   -0.3382 
3        TN4a       7,8                  O,C                  3            36.0     -0.5920  0.2503   -0.0757 
4        SN4a       9,10,11              O,C,O                2            54.0     -0.3713  0.1628   -0.0044 
5        SC5        12,18,19             C,C,C                5            54.0     -0.1412  0.0717   -0.1440 
6        TC3        13,14                C,C                  2            36.0     -0.0751  0.3594   -0.1275 
7        SC4        15,16,17             C,C,C                2            54.0     0.0043   0.2134   -0.3729 
8        SC4        20,61,62             C,C,C                4            54.0     0.0413   -0.0107  0.1862  
9        TC3        21,22                C,C                  2            36.0     0.1645   -0.1480  -0.0492 
10       SC4        23,59,60             C,C,C                4            54.0     0.3093   0.1444   0.0316  
11       SC4        24,25,56             C,C,C                4            54.0     0.4287   -0.1215  0.2212  
12       TC3        26,27                C,C                  2            36.0     0.5844   -0.1905  -0.0056 
13       TN6        28,29                C,O                  3            36.0     0.7939   -0.0828  0.0852  
14       SN4a       30,31,32             C,O,C                4            54.0     0.9612   -0.0510  -0.1550 
15       SP2        33,34,35             C,O,O                1            54.0     0.8927   0.0112   -0.4617 
16       TN6        36,37                C,O                  2            36.0     0.8779   0.2088   -0.2511 
17       TN6        38,39                C,O                  2            36.0     1.0396   0.2623   -0.0806 
18       TN6        40,41                C,O                  3            36.0     1.0975   0.0433   0.0015  
19       SN4a       42,43,44             C,O,C                4            54.0     1.2137   -0.1214  0.1988  
20       TP1        45,46                C,O                  1            36.0     1.4143   -0.2742  0.1534  
21       TN6        47,48                C,O                  2            36.0     1.3275   -0.1947  0.4440  
22       TN6        49,50                C,O                  2            36.0     1.2264   0.0199   0.4963  
23       TN6        51,52                C,O                  2            36.0     1.2212   0.1481   0.3012  
24       SN6        53,54,55             C,C,O                2            54.0     0.7426   0.0264   0.2917  
25       TC3        57,58                C,C                  2            36.0     0.3778   0.1286   0.3150  
26       SN6        63,64,65             C,C,O                2            54.0     -0.0787  0.2501   0.1982  
27       TN6        66,67                C,O                  3            36.0     -0.6301  0.0446   -0.1151 
28       TN4a       68,69                C,O                  3            36.0     -0.7974  -0.0517  -0.0145 
29       TC4        70,71                C,C                  2            36.0     -0.9874  -0.2767  0.0039  
30       TN6        72,73                C,O                  3            36.0     -1.0270  -0.1092  0.1896  
31       SN4a       74,75,76             C,O,C                3            54.0     -0.9148  -0.2315  0.4503  
32       TN6        77,78                C,O                  2            36.0     -0.9556  -0.2591  0.7181  
33       TN6        79,80                C,O                  2            36.0     -1.1890  -0.2759  0.5901  
34       TN6        81,82                C,O                  2            36.0     -1.1803  -0.1356  0.4192  
35       TN6        83,84                C,O                  2            36.0     -1.0765  0.0929   0.1350  
36       TN6        85,86                C,O                  2            36.0     -0.8676  0.1656   0.0483  
37       SN4a       89,90,91             C,O,C                4            54.0     -0.5212  -0.2790  -0.3732 
38       TP1        92,93                C,O                  1            36.0     -0.8006  -0.3797  -0.3689 
39       TN6        94,95                C,O                  2            36.0     -0.6448  -0.3021  -0.6101 
40       TN6        96,97                C,O                  2            36.0     -0.4338  -0.1566  -0.5658 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        27       1.0     
1        37       1.0     
2        3        1.0     
3        4        1.0     
3        27       1.0     
4        5        1.0     
5        6        1.0     
5        7        1.0     
5        8        1.0     
5        26       1.0     
6        7        1.0     
8        9        2.0     
8        10       1.0     
8        26       1.0     
9        10       1.0     
10       11       1.0     
10       25       1.0     
11       12       1.0     
11       24       1.0     
11       25       1.0     
12       13       1.0     
13       14       1.0     
13       24       1.0     
14       15       1.0     
14       16       1.0     
14       18       1.0     
16       17       1.0     
17       18       1.0     
18       19       1.0     
19       20       1.0     
19       21       1.0     
19       23       1.0     
21       22       1.0     
22       23       1.0     
27       28       1.0     
28       29       1.0     
28       36       1.0     
29       30       1.0     
30       31       1.0     
30       35       1.0     
31       32       1.0     
31       34       1.0     
32       33       1.0     
33       34       1.0     
35       36       1.0     
37       38       1.0     
37       39       1.0     
37       40       1.0     
39       40       1.0     
