Compound: TPCN06012
SMILES:   CC1(C)C(O)CCC2(C)C1CCC4(C)C2CC(O)C5C3(C)CCC(O)(C(C)(C)O)C3C(OC6OC(CO)C(O)C(O)C6O)CC54C

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,2                C,C,C                2            54.0     0.4938   -0.3889  0.1069  
1        TN6        3,4                  C,O                  2            36.0     0.5825   -0.3176  -0.1357 
2        TC3        5,6                  C,C                  2            36.0     0.5311   -0.0570  -0.1003 
3        SC4        7,8,9                C,C,C                4            54.0     0.4290   -0.0673  0.1380  
4        TC3        10,11                C,C                  2            36.0     0.1806   -0.2288  0.2162  
5        SC4        12,13,14             C,C,C                4            54.0     0.1985   0.0304   0.2339  
6        SN6        15,16,17             C,C,O                2            54.0     0.1974   0.2304   -0.0192 
7        SC4        18,44,45             C,C,C                4            54.0     -0.0572  0.0977   0.2415  
8        SC4        19,20,29             C,C,C                4            54.0     -0.2171  0.2900   0.1601  
9        TC3        21,22                C,C                  2            36.0     -0.0984  0.4680   -0.0439 
10       TN6        23,24                C,O                  3            36.0     -0.1984  0.2975   -0.2421 
11       P1         25,26,27,28          C,C,C,O              1            72.0     -0.4295  0.4218   -0.1554 
12       SN6        30,31,43             C,O,C                3            54.0     -0.1368  -0.0026  -0.0325 
13       SN4a       32,33,34             C,O,C                4            54.0     -0.2985  -0.1754  -0.1274 
14       TP1        35,36                C,O                  1            36.0     -0.2199  -0.4067  0.0455  
15       TN6        37,38                C,O                  2            36.0     -0.4680  -0.4264  -0.1755 
16       TN6        39,40                C,O                  2            36.0     -0.4534  -0.2658  -0.3289 
17       TN6        41,42                C,O                  2            36.0     -0.4725  -0.0573  -0.2686 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        3        1.0     
1        2        1.0     
2        3        1.0     
3        4        1.0     
3        5        1.0     
4        5        1.0     
5        6        1.0     
5        7        1.0     
6        7        1.0     
7        8        1.0     
7        12       1.0     
8        9        1.0     
8        10       1.0     
8        12       1.0     
9        10       1.0     
10       11       1.0     
12       13       1.0     
13       14       1.0     
13       15       1.0     
13       17       1.0     
15       16       1.0     
16       17       1.0     
