Compound: TPCN06223
SMILES:   CC(=O)OC1CCC2(C)C(CCC3C4(C)CCC(C)(C(C)CCC=C(C)C(=O)O)C4(O)CCC32O)C1(C)C

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SN4a       0,1,2,3              C,C,O,O              1            54.0     -0.8626  0.1937   0.0362  
1        SC3        4,5,6                C,C,C                3            54.0     -0.4271  0.1397   0.1504  
2        SC4        7,8,9                C,C,C                4            54.0     -0.3387  -0.0801  0.0855  
3        TC3        10,11                C,C                  2            36.0     -0.2691  -0.2112  -0.1390 
4        SN6        12,33,34             C,C,O                4            54.0     -0.0965  -0.0770  0.0580  
5        TC4        13,14                C,C                  3            36.0     0.0900   -0.1843  -0.2280 
6        SC3        15,16,17,18          C,C,C,C              3            54.0     0.2579   -0.2505  -0.0048 
7        C1         19,20,21,22          C,C,C,C              2            72.0     0.4592   0.0121   0.1777  
8        SC4        23,24,25             C,C,C                2            54.0     0.7688   0.0919   -0.0248 
9        SP2        26,27,28             C,O,O                1            54.0     0.9078   0.3116   -0.1437 
10       TN6        29,30                C,O                  3            36.0     0.2191   0.0304   -0.0897 
11       TC3        31,32                C,C                  2            36.0     0.0467   0.0912   0.0983  
12       SC4        35,36,37             C,C,C                2            54.0     -0.5361  0.0826   -0.1661 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        12       1.0     
2        3        1.0     
2        4        1.0     
2        12       1.0     
3        4        1.0     
4        5        1.0     
4        11       1.0     
5        6        1.0     
5        10       1.0     
6        7        1.0     
6        10       1.0     
7        8        1.0     
8        9        1.0     
10       11       1.0     
