Compound: TPCN00611
SMILES:   CC1C(Cl)C2CC3c4[nH]c5ccccc5c4CC(C2C=O)N31

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  2            36.0     -0.2705  0.0531   0.2373  
1        TX3        2,3                  C,Cl                 2            36.0     -0.3952  -0.0662  0.0480  
2        TC3        4,5                  C,C                  3            36.0     -0.2069  -0.1889  -0.0807 
3        TN6d       6,21                 C,N                  4            36.0     -0.0495  -0.0739  0.0228  
4        SC5        7,15,16              c,c,C                4            54.0     0.0876   0.1020   -0.0306 
5        TN6d       8                    n                    2            36.0     0.2121   -0.2211  0.0681  
6        TC5        9,14                 c,c                  4            36.0     0.3037   -0.0284  0.0149  
7        TC5        10,11                c,c                  2            36.0     0.5374   -0.1157  0.0306  
8        TC5        12,13                c,c                  2            36.0     0.4603   0.1574   -0.0453 
9        TC3        17,18                C,C                  4            36.0     -0.1372  0.0919   -0.0847 
10       TN4a       19,20                C,O                  1            36.0     -0.3066  0.1668   -0.2116 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        3        1.0     
1        2        1.0     
2        3        1.0     
2        9        1.0     
3        4        1.0     
3        9        1.0     
4        5        1.5     
4        6        1.5     
4        9        1.0     
5        6        1.5     
6        7        1.5     
6        8        1.5     
7        8        1.5     
9        10       1.0     
