Compound: TPCN00607
SMILES:   CCC1CN2CCc3c([nH]c4cccc(OC)c34)C2CC1C(=COC)C(=O)OC

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC3        0,1                  C,C                  1            36.0     -0.0608  0.2680   0.0853  
1        TC3        2,3                  C,C                  3            36.0     -0.0784  0.0513   0.1623  
2        TC5        4,18                 N,C                  4            36.0     -0.0106  -0.1373  0.0792  
3        TC3        5,6                  C,C                  2            36.0     0.1749   -0.1702  0.1909  
4        TC5        7,8                  c,c                  4            36.0     0.1795   -0.1085  -0.0170 
5        TN6d       9                    n                    2            36.0     0.1476   -0.0822  -0.1845 
6        TC5        10,17                c,c                  4            36.0     0.3107   -0.0746  -0.1299 
7        TC5        11,12                c,c                  2            36.0     0.4262   -0.0340  -0.2983 
8        TC5        13,14                c,c                  3            36.0     0.5176   -0.0591  -0.1076 
9        TP1d       15,16                O,C                  1            36.0     0.6033   -0.0869  0.0917  
10       TC3        19,20                C,C                  3            36.0     -0.1787  -0.0414  -0.0092 
11       TC5        21,22                C,C                  3            36.0     -0.3769  0.1114   -0.0031 
12       TP1d       23,24                O,C                  1            36.0     -0.5508  0.2800   -0.0186 
13       N4a        25,26,27,28          C,O,O,C              1            72.0     -0.4695  -0.1161  -0.1402 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        10       1.0     
2        3        1.0     
2        4        1.0     
2        10       1.0     
3        4        1.0     
4        5        1.5     
4        6        1.5     
5        6        1.5     
6        7        1.5     
6        8        1.5     
7        8        1.5     
8        9        1.0     
10       11       1.0     
11       12       1.0     
11       13       1.0     
