Compound: TPCN01722
SMILES:   C=C1C2CC2C5(C)C1CC3=C(C)C(=O)OC3(OC4OC(CO)C(O)C(O)C4O)C5O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  2            36.0     0.4661   -0.1062  0.0417  
1        SC3        2,3,4                C,C,C                2            54.0     0.4006   0.1214   0.1395  
2        SC4        5,6,7,8              C,C,C,C              4            54.0     0.2600   0.0341   -0.0568 
3        SN6a       9,15,16              C,C,O                5            54.0     -0.0048  -0.0195  -0.0145 
4        N6a        10,11,12,13          C,C,C,O              2            72.0     0.0063   -0.0821  -0.2794 
5        TN2a       14                   O                    2            36.0     -0.0494  0.0891   -0.1501 
6        SN4a       17,18,19             C,O,C                4            54.0     -0.2788  0.0253   -0.0007 
7        TP1d       20,21                C,O                  1            36.0     -0.4339  -0.0671  -0.1992 
8        TN6        22,23                C,O                  2            36.0     -0.4256  -0.1735  0.1075  
9        TN6        24,25                C,O                  2            36.0     -0.4072  -0.0353  0.2696  
10       TN6        26,27                C,O                  2            36.0     -0.2907  0.1459   0.2275  
11       TN6        28,29                C,O                  2            36.0     0.0927   0.1956   0.0400  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        2        1.0     
1        2        1.0     
2        3        1.0     
2        11       1.0     
3        4        2.0     
3        5        1.0     
3        6        1.0     
3        11       1.0     
4        5        1.0     
6        7        1.0     
6        8        1.0     
6        10       1.0     
8        9        1.0     
9        10       1.0     
