Compound: TPCN04316
SMILES:   CC(C)=CC(CC(C)(O)C1C(=O)CC2(CO)C1CCC6C3(C)CCC(OC4OCC(O)C(OC5OC(CO)C(O)C(O)C5OC9OCC(O)C(O)C9O)C4OC8OC(C)C(O)C(O)C8O)C(C)(C)C3CCC62C)OC7OC(CO)C(O)C(O)C7O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC2        0,1,2                C,C,C                1            54.0     1.1274   -0.1448  -0.2789 
1        SN6        3,4,73               C,C,O                3            54.0     0.9142   0.0218   -0.1668 
2        P1         5,6,7,8              C,C,C,O              2            72.0     0.8353   -0.2483  -0.0519 
3        SN6        9,10,11              C,C,O                2            54.0     0.6878   -0.2633  0.1603  
4        SC3        12,13,16             C,C,C                4            54.0     0.5438   -0.1170  0.1218  
5        TP1d       14,15                C,O                  1            36.0     0.5237   0.0984   0.1010  
6        TC3        17,18                C,C                  2            36.0     0.3995   -0.2143  -0.1024 
7        SC4        19,71,72             C,C,C                4            54.0     0.3248   -0.2189  0.1324  
8        SC4        20,21,68             C,C,C                4            54.0     0.0774   -0.2301  0.0843  
9        TC3        22,23                C,C                  2            36.0     -0.0102  -0.1012  -0.0935 
10       TN6        24,25                C,O                  3            36.0     -0.2136  -0.0359  0.0021  
11       SN4a       26,27,28             C,O,C                3            54.0     -0.3877  0.0063   -0.1817 
12       TN6        29,30                C,O                  2            36.0     -0.6190  0.0152   -0.2238 
13       TN6        31,32                C,O                  3            36.0     -0.6465  0.0142   -0.0131 
14       SN4a       33,34,35             C,O,C                4            54.0     -0.7948  -0.1341  0.1487  
15       TP1d       36,37                C,O                  1            36.0     -0.8035  -0.3664  0.1137  
16       TN6        38,39                C,O                  2            36.0     -0.9747  -0.1475  0.3427  
17       TN6        40,41                C,O                  2            36.0     -0.9487  0.0431   0.2586  
18       TN6        42,43                C,O                  3            36.0     -0.9850  -0.0291  0.0316  
19       SN4a       44,45,46             C,O,C                3            54.0     -1.1747  0.0972   -0.0923 
20       TN6        47,48                C,O                  2            36.0     -1.3871  0.0036   -0.0264 
21       TN6        49,50                C,O                  2            36.0     -1.3366  -0.1402  -0.2024 
22       TN6        51,52                C,O                  2            36.0     -1.1226  -0.1248  -0.2333 
23       TN6        53,54                C,O                  3            36.0     -0.4979  0.1562   -0.0282 
24       TN4a       55,56                C,O                  3            36.0     -0.4437  0.3705   0.0147  
25       TC4        57,58                C,C                  2            36.0     -0.4510  0.4493   -0.1893 
26       TN6        59,60                C,O                  2            36.0     -0.6130  0.5899   -0.1497 
27       TN6        61,62                C,O                  2            36.0     -0.7134  0.4237   -0.0714 
28       TN6        63,64                C,O                  2            36.0     -0.6050  0.4375   0.1432  
29       SC4        65,66,67             C,C,C                2            54.0     -0.1521  -0.1211  0.1969  
30       TC3        69,70                C,C                  2            36.0     0.1912   -0.1229  0.2822  
31       SN4a       74,75,76             C,O,C                4            54.0     1.0527   0.2131   0.0510  
32       TP1d       77,78                C,O                  1            36.0     1.1658   0.3272   0.3065  
33       TN6        79,80                C,O                  2            36.0     1.2900   0.3374   0.0731  
34       TN6        81,82                C,O                  2            36.0     1.2687   0.2863   -0.1408 
35       TN6        83,84                C,O                  2            36.0     1.0746   0.2573   -0.2116 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        2.0     
1        2        1.0     
1        31       1.0     
2        3        1.0     
3        4        1.0     
4        5        1.0     
4        6        1.0     
4        7        1.0     
6        7        1.0     
7        8        1.0     
7        30       1.0     
8        9        1.0     
8        29       1.0     
8        30       1.0     
9        10       1.0     
10       11       1.0     
10       29       1.0     
11       12       1.0     
11       23       1.0     
12       13       1.0     
13       14       1.0     
13       23       1.0     
14       15       1.0     
14       16       1.0     
14       18       1.0     
16       17       1.0     
17       18       1.0     
18       19       1.0     
19       20       1.0     
19       22       1.0     
20       21       1.0     
21       22       1.0     
23       24       1.0     
24       25       1.0     
24       28       1.0     
25       26       1.0     
26       27       1.0     
27       28       1.0     
31       32       1.0     
31       33       1.0     
31       35       1.0     
33       34       1.0     
34       35       1.0     
