Compound: TPCN05286
SMILES:   CC1CCC2(C(=O)OC3OC(COC4OC(CO)C(O)C(O)C4O)C(O)C(O)C3O)CCC8(C)C(=CCC9C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC98C)C2C1C

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  2            36.0     0.1883   -0.5632  -0.0746 
1        TC3        2,3                  C,C                  2            36.0     0.3922   -0.4154  -0.0773 
2        TC5        4,72                 C,C                  5            36.0     0.2899   -0.2614  0.0502  
3        SN4a       5,6,7                C,O,O                2            54.0     0.4863   -0.1716  0.1529  
4        SN4a       8,9,10               C,O,C                4            54.0     0.7165   0.0140   0.0867  
5        TN2a       11,12                C,O                  2            36.0     0.8760   0.2036   -0.0162 
6        SN4a       13,14,15             C,O,C                4            54.0     1.0780   0.3198   0.0888  
7        TN2a       16,17                C,O                  1            36.0     1.1403   0.3308   0.3472  
8        TN6        18,19                C,O                  2            36.0     1.3230   0.2068   0.1042  
9        TN6        20,21                C,O                  2            36.0     1.2909   0.2122   -0.1093 
10       TN6        22,23                C,O                  2            36.0     1.1487   0.3675   -0.1386 
11       TN6        24,25                C,O                  2            36.0     0.8322   -0.0228  -0.1553 
12       TN6        26,27                C,O                  2            36.0     0.9269   -0.1253  0.0109  
13       TN6        28,29                C,O                  2            36.0     0.8099   -0.2204  0.1560  
14       TC3        30,31                C,C                  2            36.0     0.3105   -0.0722  -0.0662 
15       SC4        32,33,34             C,C,C                4            54.0     0.1731   -0.0385  0.1251  
16       TC3        35,36                C,C                  2            36.0     -0.0318  -0.1285  0.1938  
17       SC4        37,70,71             C,C,C                4            54.0     -0.0195  0.0833   0.0498  
18       SC4        38,39,67             C,C,C                4            54.0     -0.2578  0.0732   -0.0200 
19       TC3        40,41                C,C                  2            36.0     -0.3968  -0.1085  -0.0289 
20       TN6        42,43                C,O                  3            36.0     -0.5275  0.0476   -0.1064 
21       SN4a       44,45,46             C,O,C                3            54.0     -0.7529  0.2215   -0.0914 
22       TN6        47,48                C,O                  2            36.0     -0.9929  0.1719   -0.1190 
23       TN6        49,50                C,O                  3            36.0     -0.9663  0.0661   0.0641  
24       SN4a       51,52,53             C,O,C                4            54.0     -1.2105  0.0789   0.0848  
25       TN2a       54,55                C,O                  1            36.0     -1.3584  0.1306   -0.1358 
26       TN6        56,57                C,O                  2            36.0     -1.4070  -0.0420  0.1389  
27       TN6        58,59                C,O                  2            36.0     -1.2086  -0.1782  0.1591  
28       TN6        60,61                C,O                  2            36.0     -1.1175  -0.0524  0.3006  
29       TN6        62,63                C,O                  2            36.0     -0.7546  0.0152   0.0647  
30       SC4        64,65,66             C,C,C                2            54.0     -0.3821  0.1181   -0.2739 
31       TC3        68,69                C,C                  2            36.0     -0.0513  0.1177   -0.1639 
32       TC4        73,74                C,C                  2            36.0     0.1002   -0.3575  -0.0644 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        32       1.0     
1        2        1.0     
2        3        1.0     
2        14       1.0     
2        15       1.0     
2        32       1.0     
3        4        1.0     
4        5        1.0     
4        11       1.0     
4        13       1.0     
5        6        1.0     
6        7        1.0     
6        8        1.0     
6        10       1.0     
8        9        1.0     
9        10       1.0     
11       12       1.0     
12       13       1.0     
14       15       1.0     
15       16       2.0     
15       17       1.0     
16       17       1.0     
17       18       1.0     
17       31       1.0     
18       19       1.0     
18       30       1.0     
18       31       1.0     
19       20       1.0     
20       21       1.0     
20       30       1.0     
21       22       1.0     
21       29       1.0     
22       23       1.0     
23       24       1.0     
23       29       1.0     
24       25       1.0     
24       26       1.0     
24       28       1.0     
26       27       1.0     
27       28       1.0     
