Compound: TPCN05961
SMILES:   CC(=O)C1(C)CCC2(C)C1C(O)CC5(C)C2C(O)CC6C3(C)CCC(OC4OCC(O)C(O)C4OC7OC(C)C(O)C(O)C7O)C(C)(C)C3CCC65C

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SN4a       0,1,2                C,C,O                1            54.0     -0.9764  0.1017   0.1049  
1        SC4        3,4,5                C,C,C                2            54.0     -0.7706  -0.0110  0.1583  
2        SC3        6,7,8,9              C,C,C,C              3            54.0     -0.6681  -0.1110  -0.0347 
3        SN6        10,11,12             C,O,C                2            54.0     -0.6158  0.2005   -0.0269 
4        SC4        13,14,15             C,C,C                4            54.0     -0.4146  0.0145   -0.0884 
5        SN6        16,17,18             C,O,C                2            54.0     -0.3334  -0.2045  -0.1056 
6        SC4        19,51,52             C,C,C                4            54.0     -0.2359  0.0428   0.0810  
7        SC4        20,21,48             C,C,C                4            54.0     0.0274   -0.0374  0.0717  
8        TC3        22,23                C,C                  2            36.0     0.1020   0.0007   -0.1419 
9        TN6        24,25                C,O                  3            36.0     0.2968   -0.0017  -0.0340 
10       SN4a       26,27,28             C,O,C                3            54.0     0.3890   -0.2097  -0.1615 
11       TN6        29,30                C,O                  2            36.0     0.5469   -0.4062  -0.2175 
12       TN6        31,32                C,O                  2            36.0     0.6391   -0.2184  -0.2098 
13       TN6        33,34                C,O                  3            36.0     0.5967   -0.0823  -0.0533 
14       TN4a       35,36                C,O                  3            36.0     0.6680   0.0755   0.0990  
15       TC4        37,38                C,C                  2            36.0     0.7335   0.2339   -0.0360 
16       TN6        39,40                C,O                  2            36.0     0.9433   0.2207   0.0171  
17       TN6        41,42                C,O                  2            36.0     0.9844   0.0134   0.0520  
18       TN6        43,44                C,O                  2            36.0     0.8305   -0.0403  0.1848  
19       SC4        45,46,47             C,C,C                2            54.0     0.2334   0.1469   0.1325  
20       TC3        49,50                C,C                  2            36.0     -0.1070  0.2010   0.0013  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
2        3        1.0     
2        4        1.0     
3        4        1.0     
4        5        1.0     
4        6        1.0     
5        6        1.0     
6        7        1.0     
6        20       1.0     
7        8        1.0     
7        19       1.0     
7        20       1.0     
8        9        1.0     
9        10       1.0     
9        19       1.0     
10       11       1.0     
10       13       1.0     
11       12       1.0     
12       13       1.0     
13       14       1.0     
14       15       1.0     
14       18       1.0     
15       16       1.0     
16       17       1.0     
17       18       1.0     
